Area_name,,Resident population (April 1 - complete count) 2010,Percent change 2000 - 2010
Henry, IA,20145,1.8
Howard, IA,9566,-11.7
Humboldt, IA,9815,-12.2
Ida, IA,7089,-6.1
Iowa, IA,16355,-5.2
Jackson, IA,19848,-11.3
Jasper, IA,36842,-4.5
Jefferson, IA,16843,0
Johnson, IA,130882,17.6
Jones, IA,20638,-4.7
Keokuk, IA,10511,-10
Kossuth, IA,15543,-15.1
Lee, IA,35862,-10.3
Linn, IA,211226,-0.6
Louisa, IA,11387,-3.8
Lucas, IA,8898,-12.1
Lyon, IA,11581,-7.3
Madison, IA,15679,-0.9
Mahaska, IA,22381,-5.8
Marion, IA,33309,1.1
Marshall, IA,40648,-8.1
Mills, IA,15059,-1.5
Mitchell, IA,10776,-11.4
Monona, IA,9243,-14.2
Monroe, IA,7970,-11.9
Montgomery, IA,10740,-10
Muscatine, IA,42745,-1.3
O'Brien, IA,14398,-9
Osceola, IA,6462,-13.2
Page, IA,15932,-11.5
Palo Alto, IA,9421,-16.1
Plymouth, IA,24986,-5.5
Pocahontas, IA,7310,-16.2
Polk, IA,430640,7.9
Pottawattamie, IA,93158,-4.5
Poweshiek, IA,18914,-1.4
Ringgold, IA,5131,-11.3
Sac, IA,10350,-12.7
Scott, IA,165224,-5.7
Shelby, IA,12167,-12.1
Sioux, IA,33704,-3
Story, IA,89542,2.7
Tama, IA,17767,-10.8
Taylor, IA,6317,-14.8
Union, IA,12534,-8
Van Buren, IA,7570,-11
Wapello, IA,35625,-11.3
Warren, IA,46225,3.3
Washington, IA,21704,-2.6
Wayne, IA,6403,-13.8
Webster, IA,38013,-12.2
Winnebago, IA,10866,-6.8
