Areaname,,"Resident population: White alone, percent (July 1 - estimate) 2009","Resident population: Black alone, percent (July 1 - estimate) 2009","Resident population: Asian alone, percent (July 1 - estimate) 2009"
Polk, MN,95.7,0.7,0.4
Pope, MN,98.6,0.3,0.2
Ramsey, MN,77.2,9.8,9.7
Red Lake, MN,96.1,0.2,0.1
Redwood, MN,91.7,0.3,2.1
Renville, MN,97.5,0.2,0.4
Rice, MN,94.6,1.9,1.8
Rock, MN,97,1,0.9
Roseau, MN,94.8,0.2,2.2
St. Louis, MN,93.9,1.3,0.9
Scott, MN,89.7,2.5,5.6
Sherburne, MN,95.7,1.6,1.2
Sibley, MN,97.9,0.3,0.5
Stearns, MN,95.2,1.7,1.8
Steele, MN,94.5,3.4,1
Stevens, MN,93.7,2.1,1.4
Swift, MN,89.1,3.7,1.9
Todd, MN,97.7,0.2,0.5
Traverse, MN,94.6,0.1,0.4
Wabasha, MN,97.9,0.5,0.8
Wadena, MN,97.5,0.7,0.2
Waseca, MN,95.8,2.1,0.8
Washington, MN,89.6,3.3,5
Watonwan, MN,96.8,0.7,1.2
Wilkin, MN,97.4,0.3,0.2
Winona, MN,95.3,1.1,2.5
Wright, MN,96.2,1.2,1.2
Yellow Medicine, MN,95.9,0.2,0.3
MISSISSIPPI,,60.5,37.2,0.9
Adams, MS,42.3,56.4,0.4
Alcorn, MS,87,11.6,0.2
Amite, MS,55.2,44,0.1
Attala, MS,57.2,41.7,0.3
Benton, MS,63.6,35.1,0.1
Bolivar, MS,33.1,65.6,0.6
Calhoun, MS,70,29,0.1
Carroll, MS,65.6,33.7,0.2
Chickasaw, MS,57.3,41.5,0.3
Choctaw, MS,67.4,31.4,0.2
Claiborne, MS,14.6,84.6,0.2
Clarke, MS,64,35.3,0.1
Clay, MS,42.1,57.1,0.2
Coahoma, MS,23.6,74.9,0.6
Copiah, MS,47.5,51.7,0.2
Covington, MS,62.4,36.7,0.1
DeSoto, MS,75.3,21.8,1.3
Forrest, MS,61.8,35.6,1.3
Franklin, MS,61.8,37.3,0.1
George, MS,89.1,9.8,0.2
Greene, MS,69.4,29.6,0.2
Grenada, MS,56.5,41.9,0.8
Hancock, MS,89.4,7.5,1
Harrison, MS,70.9,22.7,3
Hinds, MS,31.5,66.3,0.9
Holmes, MS,18,80.9,0.2
Humphreys, MS,25.2,73.9,0.4
Issaquena, MS,38.6,60.5,0
Itawamba, MS,92.1,6.9,0.3
Jackson, MS,73.9,22.2,2.1
Jasper, MS,47.2,52,0.1
Jefferson, MS,13,86.3,0.2
Jefferson Davis, MS,41.6,57.4,0.2
Jones, MS,71,27.4,0.4
Kemper, MS,37,59.8,0.2
Lafayette, MS,72.6,24.6,1.7
Lamar, MS,81.6,16.5,0.9
Lauderdale, MS,56.5,41.7,0.6
Lawrence, MS,66.9,32.1,0.5
Leake, MS,54.7,39.2,0.3
Lee, MS,71.5,26.8,0.6
Leflore, MS,26.9,71.4,0.8
Lincoln, MS,68.1,31,0.3
Lowndes, MS,54.8,43.3,0.6
Madison, MS,60.2,37.4,1.5
Marion, MS,65.6,33.1,0.3
Marshall, MS,50.8,48.1,0.2
Monroe, MS,68,31.1,0.2
Montgomery, MS,53.2,45.9,0.3
Neshoba, MS,62,21.5,0.5
Newton, MS,64.5,30,0.3
Noxubee, MS,28.6,70.4,0.2
Oktibbeha, MS,59.7,36.7,2.5
Panola, MS,51.3,47.8,0.3
Pearl River, MS,85,12.8,0.4
Perry, MS,76.6,22.2,0.1
Pike, MS,49.4,49.3,0.5
Pontotoc, MS,84.1,14.9,0.2
Prentiss, MS,84.5,14.2,0.2
Quitman, MS,29.3,69.5,0.2
Rankin, MS,78,19.9,1
Scott, MS,60.4,37.5,0.3
Sharkey, MS,29,69.8,0.4
Simpson, MS,63.9,35.1,0.2
Smith, MS,74.7,24.7,0.1
Stone, MS,79.3,19.6,0.2
Sunflower, MS,26.1,72.8,0.5
Tallahatchie, MS,38,60.6,0.6
Tate, MS,67.5,31.4,0.1
Tippah, MS,81.1,16.6,0.1
Tishomingo, MS,95.3,3.3,0.1
Tunica, MS,26.1,72.1,0.7
Union, MS,83.1,15.5,0.4
Walthall, MS,54,44.2,0.9
Warren, MS,50.7,47.4,0.9
Washington, MS,30.1,67.7,1
Wayne, MS,60.5,38.8,0.2
Webster, MS,78.4,20.7,0.2
Wilkinson, MS,29.5,69.9,0
Winston, MS,53.2,45.1,0.3
Yalobusha, MS,59.9,39.1,0.1
Yazoo, MS,43.8,54.8,0.5
MISSOURI,,84.9,11.5,1.5
Adair, MO,94.9,1.6,1.9
Andrew, MO,97.3,1.3,0.4
Atchison, MO,96.7,2.2,0.4
Audrain, MO,89.6,8.4,0.4
Barry, MO,96.2,0.4,0.9
Barton, MO,96.4,0.6,0.3
Bates, MO,96.9,1,0.2
Benton, MO,97.6,0.5,0.1
Bollinger, MO,97.3,0.5,0.3
Boone, MO,85.5,8.8,3.2
Buchanan, MO,92.7,4.6,0.6
Butler, MO,91.6,5.4,0.8
Caldwell, MO,97.7,0.8,0.1
Callaway, MO,92,5.2,0.9
Camden, MO,97.2,0.7,0.4
Cape Girardeau, MO,91.1,6.1,0.9
Carroll, MO,96.5,1.9,0.1
Carter, MO,96,0.2,0.1
Cass, MO,93.4,3.9,0.7
Cedar, MO,96.5,0.5,0.6
Chariton, MO,95.5,3.5,0.1
Christian, MO,96.8,1,0.4
Clark, MO,98.8,0.2,0.1
Clay, MO,90.9,4.8,2
Clinton, MO,96.3,1.6,0.3
Cole, MO,86.4,10.4,1.4
Cooper, MO,89.8,8.2,0.3
Crawford, MO,97.6,0.6,0.1
Dade, MO,96.8,0.6,0.2
Dallas, MO,96.7,0.6,0.3
Daviess, MO,98.5,0.2,0.1
DeKalb, MO,87.5,10.1,0.6
Dent, MO,96.6,0.9,0.3
Douglas, MO,96.6,0.3,0.2
Dunklin, MO,88.6,9.4,0.4
Franklin, MO,97.3,1.1,0.3
Gasconade, MO,98.1,0.5,0.2
Gentry, MO,98,0.2,0.4
Greene, MO,93.3,2.9,1.3
Grundy, MO,97.6,0.6,0.2
Harrison, MO,97.7,0.4,0.5
Henry, MO,96.4,1.3,0.3
Hickory, MO,97.6,0.1,0.1
Holt, MO,98,0.1,0.1
Howard, MO,91.4,6.6,0.1
Howell, MO,96.3,0.6,0.4
Iron, MO,95.8,2.3,0.1
Jackson, MO,73.2,22.4,1.6
Jasper, MO,93.6,1.8,1
Jefferson, MO,96.6,1.3,0.7
Johnson, MO,91.3,4.1,1.8
Knox, MO,98.3,0.3,0.1
Laclede, MO,96.7,0.9,0.4
Lafayette, MO,95.4,2.5,0.3
Lawrence, MO,96.8,0.6,0.3
Lewis, MO,95.5,3,0.2
Lincoln, MO,95.8,2.4,0.2
Linn, MO,97.5,0.9,0.2
Livingston, MO,95.2,2.8,0.5
McDonald, MO,92.3,0.7,0.9
Macon, MO,95.7,2.5,0.2
Madison, MO,97.8,0.6,0.4
Maries, MO,97,0.9,0.1
Marion, MO,92.7,4.9,0.3
Mercer, MO,98.5,0.2,0
Miller, MO,97.4,0.8,0.2
Mississippi, MO,77.7,20.3,0.6
Moniteau, MO,93.8,4.2,0.4
Monroe, MO,94,4.2,0.3
Montgomery, MO,95.4,2.3,0.4
Morgan, MO,97.1,0.8,0.2
New Madrid, MO,83.6,14.8,0.2
Newton, MO,93.1,1,0.9
Nodaway, MO,95,2.1,1.7
Oregon, MO,93.8,0.6,0.1
Osage, MO,98.2,0.4,0.2
Ozark, MO,97.2,0.4,0.1
Pemiscot, MO,73.6,24.6,0.4
Perry, MO,97.7,0.6,0.8
Pettis, MO,93.6,3.1,0.8
Phelps, MO,93.5,2,2
Pike, MO,89.3,9,0.2
Platte, MO,90.7,5.2,1.9
Polk, MO,96.7,0.9,0.5
Pulaski, MO,82.4,10.4,2.6
Putnam, MO,99,0.1,0.1
Ralls, MO,97.5,1.3,0.1
Randolph, MO,90.3,6.8,0.8
Ray, MO,96,2,0.2
Reynolds, MO,94.9,0.8,0.2
Ripley, MO,96.3,0.5,0.3
St. Charles, MO,92.2,4.3,2
St. Clair, MO,96.9,0.8,0.2
Ste. Genevieve, MO,97.3,1.4,0.2
St. Francois, MO,94.3,3.6,0.6
St. Louis, MO,73.1,21.9,3.3
Saline, MO,91.7,5.1,0.6
Schuyler, MO,98.4,0,0.2
Scotland, MO,98.9,0.2,0.1
Scott, MO,86.8,11.4,0.4
Shannon, MO,94.6,0.6,0.1
Shelby, MO,97.4,1.3,0.2
Stoddard, MO,96.6,1.4,0.3
Stone, MO,97.3,0.5,0.2
Sullivan, MO,98.1,0.5,0.2
Taney, MO,96,1.1,0.7
Texas, MO,93.9,2.8,0.4
Vernon, MO,96.6,0.8,0.4
Warren, MO,95.7,2.6,0.3
Washington, MO,95,2.7,0.2
Wayne, MO,97,0.5,0.2
Webster, MO,96.3,1.4,0.4
Worth, MO,98.6,0.3,0.1
Wright, MO,97.1,0.6,0.2
St. Louis city, MO,48,48.2,2.1
MONTANA,,90.3,0.7,0.7
Beaverhead, MT,95.8,0.5,0.3
Big Horn, MT,35,1,1
Blaine, MT,48.4,0.4,0.3
Broadwater, MT,97.2,0.3,0.1
Carbon, MT,97.5,0.3,0.3
Carter, MT,99,0.1,0.2
Cascade, MT,90.5,1.8,0.6
Chouteau, MT,81.7,0.1,0.3
Custer, MT,96.4,0.2,0.3
Daniels, MT,94.4,0.2,1.8
Dawson, MT,96.9,0.3,0.2
Deer Lodge, MT,95,0.4,0.5
Fallon, MT,98.4,0.1,0.3
Fergus, MT,95.9,0.8,0.2
Flathead, MT,96.2,0.5,0.5
Gallatin, MT,96.1,0.5,1.1
Garfield, MT,99.1,0.1,0.1
Glacier, MT,34.1,1.4,0.5
Golden Valley, MT,98.6,0,0.1
Granite, MT,96.7,0,0.1
Hill, MT,75,0.3,0.4
Jefferson, MT,96.3,0.1,0.4
Judith Basin, MT,98.4,0,0.1
Lake, MT,72.5,0.5,0.5
Lewis and Clark, MT,95,0.4,0.8
Liberty, MT,97.9,0,1.3
Lincoln, MT,96.2,0.2,0.3
McCone, MT,95.9,0.4,0.4
Madison, MT,97.9,0.1,0.3
Meagher, MT,97.9,0,0.2
Mineral, MT,94.2,0.3,0.5
Missoula, MT,93.4,0.8,1.2
Musselshell, MT,96.9,0.1,0.2
Park, MT,96.5,0.6,0.4
Petroleum, MT,98.6,0,0
Phillips, MT,86.5,0.2,0.4
Pondera, MT,80.8,0.2,0.2
Powder River, MT,97.4,0,0.1
Powell, MT,91.1,0.6,0.8
Prairie, MT,98,0,0.3
Ravalli, MT,97.1,0.3,0.4
Richland, MT,96.2,0.1,0.2
Roosevelt, MT,36.6,0.4,0.6
Rosebud, MT,61.1,0.6,0.8
Sanders, MT,92.3,0.2,0.5
Sheridan, MT,96,0.1,0.4
Silver Bow, MT,95.4,0.3,0.5
Stillwater, MT,97.1,0.2,0.3
Sweet Grass, MT,97.4,0.1,0.5
Teton, MT,96.1,0.2,0.1
Toole, MT,90.9,0.2,0.4
Treasure, MT,95.9,0.2,0.5
Valley, MT,85.7,0.2,0.3
Wheatland, MT,96.2,0.2,0.2
Wibaux, MT,97.9,0.2,0.2
Yellowstone, MT,91.3,1.6,1
Yellowstone National Park, MT,0,0,0
NEBRASKA,,91.1,4.6,1.7
Adams, NE,95.5,0.8,2.3
Antelope, NE,99,0.1,0.1
Arthur, NE,97.1,0,0.9
Banner, NE,98.6,0.2,0.2
Blaine, NE,98.5,0,0
Boone, NE,99.6,0.1,0
Box Butte, NE,92.6,0.6,0.7
Boyd, NE,98.6,0,0.2
Brown, NE,98.6,0,0.4
Buffalo, NE,96.9,1,0.7
Burt, NE,97.1,0.2,0.3
Butler, NE,98.9,0.2,0.2
Cass, NE,97.5,0.8,0.4
Cedar, NE,98.9,0.1,0.1
Chase, NE,98.9,0.2,0.2
Cherry, NE,92.3,0.1,0.5
Cheyenne, NE,97,0.2,0.9
Clay, NE,98.4,0.4,0.3
Colfax, NE,96.1,0.9,1
Cuming, NE,98.6,0.2,0.2
Custer, NE,98.5,0.1,0.2
Dakota, NE,89.2,2.7,3.7
Dawes, NE,92.1,1.6,0.3
Dawson, NE,95.5,1.6,1
Deuel, NE,98.3,0.1,0.4
Dixon, NE,97.9,0.1,0.3
Dodge, NE,97.1,0.9,0.6
Douglas, NE,83,11.8,2.5
Dundy, NE,97.3,0.1,0.7
Fillmore, NE,98,0.3,0.1
Franklin, NE,99.2,0,0.1
Frontier, NE,98.3,0.2,0.4
Furnas, NE,98.2,0.2,0.3
Gage, NE,97.2,0.5,0.5
Garden, NE,98.4,0.2,0.4
Garfield, NE,99,0.1,0.1
Gosper, NE,99.1,0,0.3
Grant, NE,99.5,0,0.4
Greeley, NE,98.3,0.8,0.1
Hall, NE,94.9,1.9,1.3
Hamilton, NE,98.7,0.2,0.3
Harlan, NE,99,0.2,0.1
Hayes, NE,98.5,0.2,0.3
Hitchcock, NE,98.5,0.1,0.1
Holt, NE,98.7,0.1,0.2
Hooker, NE,98.8,0,0.1
Howard, NE,98.8,0.4,0.1
Jefferson, NE,98.5,0.1,0.2
Johnson, NE,89.3,4.9,3.5
Kearney, NE,98.7,0.2,0.3
Keith, NE,97.8,0.2,0.3
Keya Paha, NE,99.4,0,0
Kimball, NE,97.4,0.3,0.1
Knox, NE,89.5,0.1,0.3
Lancaster, NE,90.6,3.7,3.1
Lincoln, NE,96.7,1.1,0.5
Logan, NE,98.5,0.1,0
Loup, NE,99.4,0,0.2
McPherson, NE,99.4,0,0.4
Madison, NE,96.1,0.9,0.5
Merrick, NE,98.7,0.2,0.2
Morrill, NE,97.9,0.2,0.3
Nance, NE,98.8,0,0.1
Nemaha, NE,97.2,0.7,0.7
Nuckolls, NE,97.9,1.2,0.2
Otoe, NE,98,0.5,0.4
Pawnee, NE,98.9,0,0.3
Perkins, NE,98.7,0,0.3
Phelps, NE,98,0.3,0.3
Pierce, NE,98.6,0.1,0.3
Platte, NE,97.2,0.7,0.8
Polk, NE,99,0,0.1
Red Willow, NE,97.8,0.4,0.2
Richardson, NE,94.6,0.3,0.3
Rock, NE,98.9,0,0.2
Saline, NE,95.5,0.9,2.1
Sarpy, NE,91.7,4,1.9
Saunders, NE,98.3,0.3,0.3
Scotts Bluff, NE,94.8,0.6,0.8
Seward, NE,97.7,0.5,0.5
Sheridan, NE,85.3,0.1,0.2
Sherman, NE,98.8,0.1,0.3
Sioux, NE,99.1,0,0.2
Stanton, NE,97.9,0.4,0.2
Thayer, NE,98.8,0,0.1
Thomas, NE,99.1,0,0
Thurston, NE,43.3,3.1,0.3
Valley, NE,98.6,0.2,0.2
Washington, NE,97.6,0.9,0.4
Wayne, NE,96.3,1.4,0.8
Webster, NE,97.6,0.2,0.8
Wheeler, NE,99.7,0,0
York, NE,95.9,1.6,0.8
NEVADA,,80.3,8.3,6.6
Churchill, NV,86.7,1.8,3
Clark, NV,77.1,10.6,7.7
Douglas, NV,93.2,0.7,2
Elko, NV,90.4,1.3,0.9
Esmeralda, NV,86.4,0.2,0
Eureka, NV,93.3,0.6,0.9
Humboldt, NV,91.6,0.8,0.7
Lander, NV,91.5,0.7,0.4
Lincoln, NV,94.5,1.9,0.3
Lyon, NV,91.8,1.7,1.8
Mineral, NV,74.5,5.2,1.3
Nye, NV,91.6,2.5,1.6
Pershing, NV,86.4,5.8,0.7
Storey, NV,92.3,1.1,2.6
Washoe, NV,86.9,2.7,5.5
White Pine, NV,88.2,4.5,1.1
Carson City city, NV,90.9,2.1,2.5
NEW HAMPSHIRE,,95.3,1.4,2
Belknap, NH,97.3,0.5,0.8
Carroll, NH,97.9,0.4,0.7
Cheshire, NH,97,0.8,0.9
Coos, NH,97.6,0.4,0.6
Grafton, NH,95.4,0.9,2.1
Hillsborough, NH,92.7,2.5,3.2
Merrimack, NH,96.3,1,1.3
Rockingham, NH,96.2,0.9,1.7
Strafford, NH,95.2,1.1,2.1
Sullivan, NH,97.6,0.4,0.6
NEW JERSEY,,75.8,14.5,7.8
Atlantic, NJ,73.6,17.5,6.7
Bergen, NJ,77.2,6.2,14.8
Burlington, NJ,76.5,17,4.1
Camden, NJ,72.2,20.8,4.9
Cape May, NJ,92.5,5.1,0.9
Cumberland, NJ,73.6,22,1.3
Essex, NJ,51.8,41.7,4.5
Gloucester, NJ,85.4,10.5,2.5
Hudson, NJ,70.8,14.6,11.9
Hunterdon, NJ,92.1,3.1,3.6
Mercer, NJ,69.1,20.6,8.3
Middlesex, NJ,67.6,11,19.5
Monmouth, NJ,85.4,7.9,5.2
Morris, NJ,86.6,3.3,8.7
Ocean, NJ,93.5,3.5,1.8
Passaic, NJ,77.8,15.1,4.9
Salem, NJ,81.7,15.5,0.8
Somerset, NJ,76.2,9.2,13.1
Sussex, NJ,94.6,2.1,2.1
Union, NJ,70.9,22.6,4.6
Warren, NJ,92.3,3.7,2.8
NEW MEXICO,,83.6,3.1,1.5
Bernalillo, NM,85.6,4.2,2.4
Catron, NM,94.3,0.3,0.7
Chaves, NM,93,2.9,1.1
Cibola, NM,52.9,1.7,0.5
Colfax, NM,94.9,0.5,0.6
Curry, NM,83.5,8.9,3.1
De Baca, NM,96.9,0.3,0.3
Dona Ana, NM,92.5,3.4,1
Eddy, NM,93.5,2.5,0.8
Grant, NM,94.6,1.4,0.5
Guadalupe, NM,94.7,1.8,1.4
Harding, NM,95.6,0.5,0
Hidalgo, NM,96.7,0.6,0.8
Lea, NM,90.5,5.8,0.7
Lincoln, NM,94.5,1,0.4
Los Alamos, NM,89.5,0.9,6.8
Luna, NM,95,1.9,0.6
McKinley, NM,21.1,1.6,0.9
Mora, NM,97.3,0.4,0.2
Otero, NM,84.2,5.1,1.4
Quay, NM,93.8,1.3,1.2
Rio Arriba, NM,81.3,0.7,0.3
Roosevelt, NM,92.5,3.1,1
Sandoval, NM,79.9,3,1.6
San Juan, NM,58.4,1.6,0.5
San Miguel, NM,93.8,1.4,0.9
Santa Fe, NM,92.3,1.4,1.3
Sierra, NM,95.9,0.6,0.2
Socorro, NM,81.3,1.2,2.1
Taos, NM,89.6,0.7,0.6
Torrance, NM,91.8,2.4,0.6
Union, NM,96.8,0.2,0.5
Valencia, NM,91.4,2.1,0.7
NEW YORK,,73.4,17.2,7.1
Albany, NY,81.5,12.4,4.1
Allegany, NY,96.2,1.4,1.1
Bronx, NY,49.5,43,3.8
Broome, NY,90.1,4.7,3.3
Cattaraugus, NY,93.6,1.4,0.6
Cayuga, NY,93.6,4.2,0.5
Chautauqua, NY,95.1,2.6,0.5
Chemung, NY,90.5,6.3,1.1
Chenango, NY,97.1,1.3,0.4
Clinton, NY,93.9,3.8,0.8
Columbia, NY,91.7,5,1.5
Cortland, NY,96,1.7,0.7
Delaware, NY,95.9,1.8,0.8
Dutchess, NY,84.2,10.5,3.3
Erie, NY,82.6,13.5,1.9
Essex, NY,95,3.1,0.5
Franklin, NY,84.9,7,0.5
Fulton, NY,95.7,2,0.9
Genesee, NY,94.5,2.7,0.6
Greene, NY,91.2,6.3,0.7
Hamilton, NY,98,0.7,0.2
Herkimer, NY,96.9,1.2,0.7
Jefferson, NY,90.5,5.3,1
Kings, NY,51.6,36.7,9.5
Lewis, NY,97.7,1,0.2
Livingston, NY,94.4,3.1,1
Madison, NY,95.8,1.8,0.7
Monroe, NY,80.4,14.8,2.8
Montgomery, NY,95.6,2.2,0.7
Nassau, NY,79.8,11.3,7.2
New York, NY,67.9,18.3,10.9
Niagara, NY,89.7,6.8,0.9
Oneida, NY,90.4,6.4,1.5
Onondaga, NY,84,10.4,2.5
Ontario, NY,94.8,2.6,1.1
Orange, NY,84,11.1,2.5
Orleans, NY,90.2,7.4,0.4
Oswego, NY,96.8,1.1,0.6
Otsego, NY,95.3,2.3,0.9
Putnam, NY,93.2,3.3,2.2
Queens, NY,55,20,22.2
Rensselaer, NY,89.9,6.1,2.3
Richmond, NY,79.5,11.1,7.5
Rockland, NY,80.4,11.4,6.3
St. Lawrence, NY,94.6,2.5,0.9
Saratoga, NY,95.1,1.8,1.7
Schenectady, NY,83.9,9.6,4
Schoharie, NY,96.6,1.5,0.5
Schuyler, NY,96.1,2,0.3
Seneca, NY,92.3,5.1,1
Steuben, NY,95.8,1.7,1.2
Suffolk, NY,87,7.8,3.4
Sullivan, NY,86.8,9.5,1.7
Tioga, NY,96.9,1.1,0.7
Tompkins, NY,84.1,4,9.2
Ulster, NY,89.8,6.4,1.7
Warren, NY,96.9,1,0.8
Washington, NY,95,3.4,0.4
Wayne, NY,94.2,3.3,0.6
Westchester, NY,77.5,14.4,6.1
Wyoming, NY,92.3,6.1,0.6
Yates, NY,97.7,0.9,0.4
NORTH CAROLINA,,73.7,21.6,2
Alamance, NC,78.4,18.8,1.3
Alexander, NC,91.3,6.2,1.2
Alleghany, NC,96.6,1.7,0.4
Anson, NC,49.7,48.2,0.9
Ashe, NC,98,1,0.2
Avery, NC,93.2,5.3,0.3
Beaufort, NC,72,26.7,0.3
Bertie, NC,35.9,62.9,0.2
Bladen, NC,60.9,35.6,0.2
Brunswick, NC,86.1,11.7,0.5
Buncombe, NC,90,7.1,1.1
Burke, NC,88.2,6.5,3.5
Cabarrus, NC,81.4,15.2,1.8
Caldwell, NC,92.9,5.4,0.6
Camden, NC,81.7,16,0.8
Carteret, NC,90.1,7.5,0.6
Caswell, NC,65,33.6,0.2
Catawba, NC,87.1,8.5,3.1
Chatham, NC,83.5,12.9,2.2
Cherokee, NC,95,1.9,0.3
Chowan, NC,62.7,36,0.3
Clay, NC,97.6,1.3,0.1
Cleveland, NC,77.4,20.7,0.8
Columbus, NC,65,30.4,0.3
Craven, NC,72.8,23.7,1.3
Cumberland, NC,55.5,37.5,2.1
Currituck, NC,90.4,7.5,0.6
Dare, NC,94.6,3.4,0.5
Davidson, NC,88.1,9.4,1.1
Davie, NC,91.4,7,0.4
Duplin, NC,72.9,25.6,0.3
Durham, NC,56.5,37.2,4.4
Edgecombe, NC,42.1,56.6,0.3
Forsyth, NC,70.8,25.9,1.6
Franklin, NC,71.8,26.4,0.5
Gaston, NC,82.1,15.2,1.3
Gates, NC,62.7,35.1,0.8
Graham, NC,90,0.6,0.6
Granville, NC,64.4,33.1,0.5
Greene, NC,58.6,40.1,0.1
Guilford, NC,62.7,31.8,3.5
Halifax, NC,41.2,53.7,0.7
Harnett, NC,74.1,22.1,1.1
Haywood, NC,96.8,1.6,0.3
Henderson, NC,94.6,3.4,0.8
Hertford, NC,36,61.3,0.5
Hoke, NC,53.7,33.4,1.2
Hyde, NC,62.2,36.1,0.5
Iredell, NC,84.4,12.4,1.9
Jackson, NC,84.3,2.5,0.9
Johnston, NC,82.2,15.6,0.8
Jones, NC,65.8,32.4,0.2
Lee, NC,77.8,19.8,0.8
Lenoir, NC,57.6,40.8,0.5
Lincoln, NC,91.9,6.5,0.4
McDowell, NC,93.6,4,1.2
Macon, NC,96.3,1.9,0.6
Madison, NC,97.1,1.5,0.4
Martin, NC,54.9,43.2,0.4
Mecklenburg, NC,64.1,29.8,4.1
Mitchell, NC,97.1,0.9,0.2
Montgomery, NC,76.7,19.4,2
Moore, NC,83.1,14.3,0.8
Nash, NC,60.5,37.2,0.8
New Hanover, NC,81.7,15.5,1.2
Northampton, NC,40.9,57.7,0.2
Onslow, NC,76.6,17.5,1.9
Orange, NC,78.3,13.5,6
Pamlico, NC,75.7,22.2,0.6
Pasquotank, NC,58.4,38.5,1.3
Pender, NC,79.4,18.7,0.4
Perquimans, NC,73.3,25.5,0.2
Person, NC,70.3,27.8,0.3
Pitt, NC,63.4,33.9,1.2
Polk, NC,93.5,5.3,0.2
Randolph, NC,91.5,5.9,1
Richmond, NC,65.1,30.6,0.8
Robeson, NC,35.9,23.8,0.8
Rockingham, NC,79.2,19,0.5
Rowan, NC,82.1,15.7,0.9
Rutherford, NC,87.2,11,0.4
Sampson, NC,68.6,27.8,0.5
Scotland, NC,49.4,38.3,0.6
Stanly, NC,85.1,11.8,2
Stokes, NC,93.8,5,0.2
Surry, NC,94.4,4.1,0.6
Swain, NC,68.7,1.9,0.3
Transylvania, NC,92.5,5.3,0.5
Tyrrell, NC,56.9,40.4,1.7
Union, NC,84.4,12.3,1.7
Vance, NC,48.8,49.3,0.8
Wake, NC,72.3,20.6,4.9
Warren, NC,40.6,53.1,0.2
Washington, NC,48.1,50.1,0.8
Watauga, NC,95.8,2.1,0.8
Wayne, NC,64.7,32.6,0.8
Wilkes, NC,94.2,4.1,0.8
Wilson, NC,58.9,39.2,0.8
Yadkin, NC,95,3.6,0.2
Yancey, NC,97.4,1.1,0.2
NORTH DAKOTA,,91.1,1.2,0.8
Adams, ND,98.3,0.5,0.2
Barnes, ND,96.7,1.2,0.3
Benson, ND,44.2,0.3,0
Billings, ND,98.5,0,0.1
Bottineau, ND,95.6,0.3,0.5
Bowman, ND,99,0,0.1
Burke, ND,99,0.3,0.2
Burleigh, ND,93.2,0.7,0.6
Cass, ND,92.8,2.5,1.8
Cavalier, ND,97.5,0.2,0.2
Dickey, ND,97.4,0.2,0.6
Divide, ND,98.1,0,1.3
Dunn, ND,85.3,0.1,0.1
Eddy, ND,94.8,0.1,0.2
Emmons, ND,99.2,0.1,0.2
Foster, ND,98.7,0.2,0
Golden Valley, ND,97.5,0.2,0.1
Grand Forks, ND,92.7,1.8,1.1
Grant, ND,95.1,0,0.4
Griggs, ND,99.4,0,0.2
Hettinger, ND,97.3,0.3,0.1
Kidder, ND,98.8,0.2,0.1
LaMoure, ND,99.3,0.1,0.2
Logan, ND,98.8,0.1,0.2
McHenry, ND,98.4,0.1,0.1
McIntosh, ND,98.7,0,0.5
McKenzie, ND,76.7,0.2,0.1
McLean, ND,91.2,0.2,0.2
Mercer, ND,95.3,0.1,0.3
Morton, ND,94.3,0.3,0.5
Mountrail, ND,62.7,0.5,0.2
Nelson, ND,97.8,0.1,1
Oliver, ND,96.3,0.2,0.5
Pembina, ND,95,0.4,0.6
Pierce, ND,97.8,0.2,0.3
Ramsey, ND,88.7,0.4,0.3
Ransom, ND,97.9,0.2,0.3
Renville, ND,97.3,0.3,0.5
Richland, ND,95.3,0.5,0.4
Rolette, ND,25,1,1.1
Sargent, ND,97.3,1.2,0.1
Sheridan, ND,99,0.2,0
Sioux, ND,18.7,0.3,0.1
Slope, ND,99.5,0,0
Stark, ND,97,0.5,0.3
Steele, ND,97.8,0.2,0.1
Stutsman, ND,96.5,0.5,0.5
Towner, ND,95.9,0.1,0.2
Traill, ND,97.7,0.4,0.2
Walsh, ND,96.5,0.5,0.4
Ward, ND,92.4,2.3,0.7
Wells, ND,98.5,0.2,0.6
Williams, ND,91.9,0.3,0.7
OHIO,,84.7,12.1,1.6
Adams, OH,97.3,0.6,0.1
Allen, OH,85.5,11.7,0.7
Ashland, OH,97.1,1.1,0.8
Ashtabula, OH,94.6,3.4,0.4
Athens, OH,93.5,2.7,1.9
Auglaize, OH,97.4,0.6,0.9
Belmont, OH,93.8,4.6,0.4
Brown, OH,97.6,1.1,0.3
Butler, OH,89.1,7.2,2.2
Carroll, OH,97.8,0.9,0.1
Champaign, OH,95.4,2.4,0.4
Clark, OH,88.2,8.8,0.7
Clermont, OH,96.6,1.4,0.9
Clinton, OH,95.5,2.5,0.5
Columbiana, OH,96.1,2.3,0.4
Coshocton, OH,96.9,1.2,0.5
Crawford, OH,97.6,0.9,0.4
Cuyahoga, OH,66.7,29.3,2.4
Darke, OH,97.9,0.7,0.4
Defiance, OH,96.3,2,0.4
Delaware, OH,90.2,4,4.3
Erie, OH,88.4,8.8,0.7
Fairfield, OH,90.8,6.6,1
Fayette, OH,95.2,2.3,0.8
Franklin, OH,74.1,19.8,3.9
Fulton, OH,97.6,0.7,0.5
Gallia, OH,94.9,2.8,0.4
Geauga, OH,96.8,1.7,0.6
