Areaname,,"Resident population: White alone, percent (July 1 - estimate) 2009","Resident population: Black alone, percent (July 1 - estimate) 2009","Resident population: Asian alone, percent (July 1 - estimate) 2009"
Napa, CA,87.9,2.1,6.2
Nevada, CA,94.5,0.6,1.4
Orange, CA,78,2,16.6
Placer, CA,88.6,1.8,5.6
Plumas, CA,92.9,0.9,0.7
Riverside, CA,83.3,6.8,5.6
Sacramento, CA,69.3,10.5,13.6
San Benito, CA,90.9,1.4,3.3
San Bernardino, CA,80.1,9.5,6
San Diego, CA,79.4,5.6,10.4
San Francisco, CA,58,6.7,31.4
San Joaquin, CA,72.5,8,14
San Luis Obispo, CA,90.7,2.1,3.3
San Mateo, CA,66.5,3.2,24.9
Santa Barbara, CA,88.6,2.4,4.5
Santa Clara, CA,61.6,2.9,31.7
Santa Cruz, CA,90.1,1.3,4.2
Shasta, CA,89.9,1.1,2.5
Sierra, CA,94.9,0.3,0.2
Siskiyou, CA,89.1,1.6,1.3
Solano, CA,63.5,15.3,14.3
Sonoma, CA,89.6,1.8,4
Stanislaus, CA,86.5,3.3,5.2
Sutter, CA,79.3,2.4,13.3
Tehama, CA,92.6,1,1.3
Trinity, CA,89.9,0.5,0.7
Tulare, CA,90.5,2.1,3.6
Tuolumne, CA,91.5,2.3,1.1
Ventura, CA,87.1,2.2,6.7
Yolo, CA,79.7,3.1,11.8
Yuba, CA,81.6,3.5,7.6
COLORADO,,89.5,4.4,2.7
Adams, CO,89.6,3.6,3.4
Alamosa, CO,90.7,1.8,1.4
Arapahoe, CO,81.7,10.1,4.7
Archuleta, CO,96.3,0.4,0.3
Baca, CO,96,0.1,0.2
Bent, CO,85.7,8.9,0.8
Boulder, CO,92.5,1.2,3.8
Broomfield, CO,90.9,1.4,5.2
Chaffee, CO,95.3,1.7,0.5
Cheyenne, CO,97.6,0.6,0.2
Clear Creek, CO,95.8,0.8,0.8
Conejos, CO,96,0.4,0.3
Costilla, CO,90.9,1.1,1.1
Crowley, CO,84.6,10,1.1
Custer, CO,97,0.4,0.4
Delta, CO,96.2,0.8,0.4
Denver, CO,82.7,10.2,3.5
Dolores, CO,95.6,0.1,0.4
Douglas, CO,92.2,1.9,3.7
Eagle, CO,96.7,0.7,1.1
Elbert, CO,95.7,1.3,0.6
El Paso, CO,84.7,7.3,3.1
Fremont, CO,90.5,5.6,0.6
Garfield, CO,95.9,1.2,0.6
Gilpin, CO,95.9,0.5,1.2
Grand, CO,96.5,0.9,1
Gunnison, CO,95.7,0.8,0.6
Hinsdale, CO,97.6,0,0.4
Huerfano, CO,89.4,3.9,0.6
Jackson, CO,97.7,0.4,0.1
Jefferson, CO,92.7,1.6,2.8
Kiowa, CO,96.8,0.6,0.2
Kit Carson, CO,93,5.2,0.4
Lake, CO,94.9,0.3,0.7
La Plata, CO,89.8,0.6,0.7
Larimer, CO,94.3,1.2,1.8
Las Animas, CO,92.8,1.5,0.6
Lincoln, CO,89.8,6.4,0.9
Logan, CO,94.4,3.1,0.4
Mesa, CO,95.4,1.1,0.7
Mineral, CO,97,0,0
Moffat, CO,95.8,0.8,0.7
Montezuma, CO,82.8,0.5,0.3
Montrose, CO,95.8,0.7,0.6
Morgan, CO,95.3,1.8,0.4
Otero, CO,93.6,1.3,0.8
Ouray, CO,97.5,0.1,0.3
Park, CO,96.2,0.7,0.5
Phillips, CO,96.5,0.2,0.4
Pitkin, CO,96.4,0.7,1.5
Prowers, CO,95,0.5,1
Pueblo, CO,92.9,2.5,0.8
Rio Blanco, CO,96.2,0.7,0.4
Rio Grande, CO,95.2,0.8,0.4
Routt, CO,96.8,0.8,0.7
Saguache, CO,95.5,0.2,0.5
San Juan, CO,98,0,0.2
San Miguel, CO,96.9,0.3,0.8
Sedgwick, CO,96.8,0.6,1
Summit, CO,96.1,1.3,0.9
Teller, CO,94.5,1.5,0.7
Washington, CO,98.2,0,0.1
Weld, CO,95,1.2,1.2
Yuma, CO,98.3,0.2,0.1
CONNECTICUT,,84,10.4,3.6
Fairfield, CT,83,10.8,4.5
Hartford, CT,80.5,13.8,3.7
Litchfield, CT,95.3,1.7,1.7
Middlesex, CT,91.3,4.9,2.2
New Haven, CT,81.4,13.1,3.5
New London, CT,86.4,6.4,3.7
Tolland, CT,91.4,3.8,3.3
Windham, CT,94.2,2.6,1.1
DELAWARE,,73.9,21.1,3
Kent, DE,71.9,23.3,2
New Castle, DE,70.9,23.3,4
Sussex, DE,84,13.4,0.9
DISTRICT OF COLUMBIA,,40.6,54,3.2
District of Columbia,,40.6,54,3.2
FLORIDA,,79.4,16.1,2.4
Alachua, FL,73.2,19.9,4.6
Baker, FL,84.4,13.7,0.4
Bay, FL,83,11.8,2
Bradford, FL,75.8,21.6,0.8
Brevard, FL,85.4,10.2,2.2
Broward, FL,68.6,25.9,3.3
Calhoun, FL,79.8,16.6,0.7
