County,State,2013,2014,2015,2016,2017,2018,2019
Shelby County, Missouri,"6,152","6,092","6,101","6,044","5,995","5,997","5,930"
Stoddard County, Missouri,"29,795","29,785","29,736","29,498","29,364","29,264","29,025"
Stone County, Missouri,"31,658","31,445","31,307","31,471","31,642","31,701","31,952"
Sullivan County, Missouri,"6,497","6,472","6,366","6,333","6,212","6,233","6,089"
Taney County, Missouri,"53,255","53,810","54,216","54,608","55,100","55,719","55,928"
Texas County, Missouri,"25,685","25,659","25,660","25,805","25,650","25,506","25,398"
Vernon County, Missouri,"20,978","20,983","20,758","20,653","20,507","20,492","20,563"
Warren County, Missouri,"32,980","33,180","33,532","33,871","34,448","34,766","35,649"
Washington County, Missouri,"25,144","25,079","24,793","24,852","24,994","24,933","24,730"
Wayne County, Missouri,"13,475","13,481","13,431","13,236","13,303","13,132","12,873"
Webster County, Missouri,"36,626","37,042","37,604","38,154","38,745","39,179","39,592"
Worth County, Missouri,"2,079","2,054","2,042","2,015","2,041","2,026","2,013"
Wright County, Missouri,"18,333","18,198","18,146","18,185","18,210","18,187","18,289"
St, Louis city,"318,476","317,399","316,010","312,633","308,233","303,419","300,576"
Beaverhead County, Montana,"9,306","9,337","9,295","9,463","9,450","9,412","9,453"
Big Horn County, Montana,"13,117","13,343","13,312","13,458","13,483","13,365","13,319"
Blaine County, Montana,"6,637","6,710","6,680","6,716","6,745","6,774","6,681"
Broadwater County, Montana,"5,676","5,653","5,714","5,785","5,917","6,072","6,237"
Carbon County, Montana,"10,337","10,438","10,403","10,485","10,680","10,691","10,725"
Carter County, Montana,"1,152","1,150","1,147","1,175","1,223","1,230","1,252"
Cascade County, Montana,"82,194","82,056","81,878","81,562","81,633","81,688","81,366"
Chouteau County, Montana,"5,853","5,899","5,774","5,780","5,732","5,740","5,635"
Custer County, Montana,"11,873","12,008","12,083","11,843","11,726","11,592","11,402"
Daniels County, Montana,"1,777","1,797","1,750","1,731","1,722","1,729","1,690"
Dawson County, Montana,"9,381","9,505","9,577","9,263","8,952","8,680","8,613"
Deer Lodge County, Montana,"9,257","9,115","9,102","9,057","9,100","9,129","9,140"
Fallon County, Montana,"3,047","3,110","3,171","3,086","3,004","2,912","2,846"
Fergus County, Montana,"11,464","11,329","11,307","11,349","11,281","11,117","11,050"
Flathead County, Montana,"92,935","94,567","95,839","97,742","100,091","102,017","103,806"
Gallatin County, Montana,"94,798","97,508","100,882","104,739","108,576","111,682","114,434"
Garfield County, Montana,"1,254","1,275","1,284","1,299","1,281","1,257","1,258"
Glacier County, Montana,"13,789","13,704","13,636","13,711","13,732","13,828","13,753"
Golden Valley County, Montana,846,841,818,810,817,822,821
Granite County, Montana,"3,069","3,146","3,163","3,286","3,356","3,371","3,379"
Hill County, Montana,"16,535","16,502","16,438","16,448","16,469","16,342","16,484"
Jefferson County, Montana,"11,455","11,502","11,572","11,779","11,921","12,094","12,221"
Judith Basin County, Montana,"2,000","1,984","1,931","1,940","1,945","1,946","2,007"
Lake County, Montana,"29,121","29,215","29,457","29,709","30,221","30,220","30,458"
Lewis and Clark County, Montana,"65,234","65,703","66,225","66,894","67,850","68,622","69,432"
Liberty County, Montana,"2,362","2,348","2,391","2,409","2,407","2,416","2,337"
Lincoln County, Montana,"19,424","19,186","19,060","19,294","19,556","19,797","19,980"
McCone County, Montana,"1,715","1,715","1,700","1,732","1,698","1,669","1,664"
Madison County, Montana,"7,674","7,828","8,026","8,062","8,291","8,530","8,600"
Meagher County, Montana,"1,904","1,856","1,821","1,845","1,852","1,857","1,862"
Mineral County, Montana,"4,228","4,195","4,192","4,124","4,235","4,307","4,397"
Missoula County, Montana,"111,900","112,801","114,122","116,349","117,834","118,640","119,600"
Musselshell County, Montana,"4,681","4,645","4,628","4,646","4,632","4,632","4,633"
Park County, Montana,"15,698","15,919","16,003","16,115","16,386","16,648","16,606"
Petroleum County, Montana,504,488,474,491,512,512,487
Phillips County, Montana,"4,159","4,170","4,146","4,113","4,113","4,060","3,954"
Pondera County, Montana,"6,216","6,138","6,095","6,035","5,968","5,960","5,911"
Powder River County, Montana,"1,753","1,777","1,768","1,746","1,750","1,720","1,682"
Powell County, Montana,"6,957","6,882","6,799","6,841","6,789","6,953","6,890"
Prairie County, Montana,"1,163","1,125","1,140","1,159","1,099","1,070","1,077"
Ravalli County, Montana,"40,668","40,745","41,148","41,918","42,524","43,166","43,806"
Richland County, Montana,"11,154","11,531","11,902","11,408","11,027","10,855","10,803"
Roosevelt County, Montana,"11,089","11,285","11,417","11,225","11,160","11,069","11,004"
Rosebud County, Montana,"9,298","9,321","9,347","9,232","9,205","9,040","8,937"
Sanders County, Montana,"11,310","11,313","11,293","11,465","11,689","11,847","12,113"
Sheridan County, Montana,"3,626","3,661","3,673","3,608","3,471","3,386","3,309"
Silver Bow County, Montana,"34,574","34,752","34,691","34,696","34,811","34,739","34,915"
Stillwater County, Montana,"9,255","9,235","9,425","9,360","9,419","9,483","9,642"
Sweet Grass County, Montana,"3,658","3,639","3,620","3,616","3,676","3,703","3,737"
Teton County, Montana,"6,051","6,031","6,062","6,011","6,091","6,117","6,147"
Toole County, Montana,"5,121","5,117","5,077","4,951","4,860","4,835","4,736"
Treasure County, Montana,693,689,684,680,673,673,696
Valley County, Montana,"7,628","7,627","7,621","7,532","7,402","7,406","7,396"
Wheatland County, Montana,"2,123","2,090","2,111","2,130","2,161","2,184","2,126"
Wibaux County, Montana,"1,101","1,084","1,072","1,042","1,018","1,030",969
Yellowstone County, Montana,"153,775","155,279","156,529","157,914","159,266","160,029","161,300"
Adams County, Nebraska,"31,527","31,389","31,567","31,683","31,808","31,514","31,363"
Antelope County, Nebraska,"6,472","6,419","6,415","6,345","6,341","6,308","6,298"
Arthur County, Nebraska,454,451,451,466,455,462,463
Banner County, Nebraska,678,670,711,716,726,725,745
Blaine County, Nebraska,470,490,477,470,479,480,465
Boone County, Nebraska,"5,397","5,357","5,310","5,333","5,320","5,241","5,192"
Box Butte County, Nebraska,"11,296","11,298","11,325","11,176","10,835","10,733","10,783"
Boyd County, Nebraska,"2,016","2,019","2,002","1,980","1,955","1,950","1,919"
Brown County, Nebraska,"2,958","2,974","2,982","2,980","3,000","2,967","2,955"
Buffalo County, Nebraska,"47,999","48,200","48,578","49,104","49,350","49,352","49,659"
Burt County, Nebraska,"6,570","6,546","6,538","6,537","6,531","6,486","6,459"
Butler County, Nebraska,"8,231","8,181","8,058","7,996","8,032","8,043","8,016"
Cass County, Nebraska,"25,295","25,404","25,421","25,647","25,935","26,189","26,248"
Cedar County, Nebraska,"8,625","8,542","8,518","8,604","8,515","8,453","8,402"
Chase County, Nebraska,"3,981","3,981","3,963","3,914","3,928","3,937","3,924"
Cherry County, Nebraska,"5,755","5,744","5,824","5,829","5,790","5,763","5,689"
Cheyenne County, Nebraska,"10,067","10,113","10,137","10,047","9,644","9,282","8,910"
Clay County, Nebraska,"6,358","6,314","6,291","6,135","6,186","6,202","6,203"
Colfax County, Nebraska,"10,454","10,663","10,717","10,712","10,700","10,734","10,709"
Cuming County, Nebraska,"9,010","9,017","9,075","8,957","8,947","8,935","8,846"
Custer County, Nebraska,"10,828","10,770","10,828","10,824","10,869","10,830","10,777"
Dakota County, Nebraska,"20,765","20,547","20,550","20,279","20,010","20,002","20,026"
Dawes County, Nebraska,"9,062","9,018","8,958","8,911","8,888","8,705","8,589"
Dawson County, Nebraska,"24,016","23,986","23,892","23,779","23,657","23,744","23,595"
Deuel County, Nebraska,"1,920","1,926","1,910","1,861","1,861","1,821","1,794"
Dixon County, Nebraska,"5,815","5,760","5,769","5,742","5,746","5,700","5,636"
Dodge County, Nebraska,"36,497","36,614","36,567","36,677","36,789","36,725","36,565"
Douglas County, Nebraska,"536,734","543,005","549,029","555,607","560,733","566,391","571,327"
Dundy County, Nebraska,"1,955","1,863","1,770","1,806","1,783","1,764","1,693"
Fillmore County, Nebraska,"5,637","5,604","5,553","5,622","5,561","5,535","5,462"
Franklin County, Nebraska,"3,063","3,046","2,977","2,994","2,974","3,013","2,979"
Frontier County, Nebraska,"2,716","2,722","2,631","2,645","2,623","2,600","2,627"
Furnas County, Nebraska,"4,830","4,853","4,831","4,762","4,763","4,701","4,676"
Gage County, Nebraska,"21,767","21,557","21,715","21,625","21,621","21,495","21,513"
Garden County, Nebraska,"1,923","1,908","1,916","1,907","1,890","1,890","1,837"
Garfield County, Nebraska,"2,022","2,000","2,014","1,994","1,986","1,974","1,969"
Gosper County, Nebraska,"2,017","2,004","2,025","2,025","2,028","1,996","1,990"
Grant County, Nebraska,633,626,646,665,649,657,623
Greeley County, Nebraska,"2,483","2,483","2,435","2,400","2,363","2,355","2,356"
Hall County, Nebraska,"60,485","61,099","61,132","61,353","61,201","61,286","61,353"
Hamilton County, Nebraska,"9,122","9,102","9,141","9,158","9,194","9,260","9,324"
Harlan County, Nebraska,"3,488","3,468","3,441","3,451","3,415","3,386","3,380"
Hayes County, Nebraska,947,910,915,891,893,917,922
Hitchcock County, Nebraska,"2,853","2,879","2,879","2,828","2,806","2,801","2,762"
Holt County, Nebraska,"10,380","10,359","10,263","10,223","10,182","10,148","10,067"
Hooker County, Nebraska,731,722,714,683,666,676,682
Howard County, Nebraska,"6,337","6,353","6,382","6,407","6,396","6,457","6,445"
Jefferson County, Nebraska,"7,512","7,300","7,221","7,181","7,176","7,098","7,046"
Johnson County, Nebraska,"5,167","5,223","5,239","5,213","5,169","5,115","5,071"
Kearney County, Nebraska,"6,486","6,587","6,558","6,561","6,492","6,539","6,495"
Keith County, Nebraska,"8,158","8,176","8,136","8,096","8,070","8,003","8,034"
Keya Paha County, Nebraska,790,795,797,792,790,806,806
Kimball County, Nebraska,"3,694","3,726","3,716","3,669","3,568","3,578","3,632"
Knox County, Nebraska,"8,552","8,474","8,468","8,484","8,439","8,405","8,332"
Lancaster County, Nebraska,"297,109","302,622","306,096","310,306","313,772","316,527","319,090"
Lincoln County, Nebraska,"35,936","35,648","35,501","35,487","35,265","35,148","34,914"
Logan County, Nebraska,777,767,791,792,765,755,748
Loup County, Nebraska,587,596,606,616,604,617,664
McPherson County, Nebraska,528,510,489,503,493,490,494
Madison County, Nebraska,"35,147","35,083","34,999","34,979","35,132","35,189","35,099"
Merrick County, Nebraska,"7,830","7,788","7,805","7,838","7,859","7,733","7,755"
Morrill County, Nebraska,"4,925","4,918","4,925","4,867","4,796","4,674","4,642"
Nance County, Nebraska,"3,558","3,527","3,573","3,561","3,561","3,506","3,519"
Nemaha County, Nebraska,"7,149","7,130","7,005","6,973","6,957","6,957","6,972"
Nuckolls County, Nebraska,"4,384","4,347","4,322","4,274","4,269","4,207","4,148"
Otoe County, Nebraska,"15,688","15,780","15,842","15,950","15,956","15,983","16,012"
Pawnee County, Nebraska,"2,750","2,726","2,691","2,699","2,621","2,623","2,613"
Perkins County, Nebraska,"2,891","2,875","2,932","2,892","2,886","2,902","2,891"
Phelps County, Nebraska,"9,179","9,162","9,217","9,193","9,050","9,006","9,034"
Pierce County, Nebraska,"7,180","7,204","7,190","7,144","7,093","7,145","7,148"
Platte County, Nebraska,"32,595","32,740","32,876","33,008","33,231","33,287","33,470"
Polk County, Nebraska,"5,242","5,268","5,171","5,190","5,309","5,240","5,213"
Red Willow County, Nebraska,"11,053","10,901","10,883","10,767","10,760","10,705","10,724"
Richardson County, Nebraska,"8,131","8,110","8,025","8,004","7,971","7,938","7,865"
Rock County, Nebraska,"1,440","1,449","1,417","1,404","1,420","1,351","1,357"
Saline County, Nebraska,"14,299","14,297","14,196","14,228","14,365","14,336","14,224"
Sarpy County, Nebraska,"168,990","171,853","175,173","178,355","181,376","184,062","187,196"
Saunders County, Nebraska,"20,877","20,860","20,949","20,992","21,032","21,274","21,578"
Scotts Bluff County, Nebraska,"36,853","36,437","36,245","36,420","36,160","35,925","35,618"
Seward County, Nebraska,"16,994","17,012","16,994","17,103","17,203","17,273","17,284"
Sheridan County, Nebraska,"5,208","5,250","5,216","5,235","5,268","5,189","5,246"
Sherman County, Nebraska,"3,061","3,034","3,036","3,012","3,074","3,044","3,001"
Sioux County, Nebraska,"1,330","1,321","1,276","1,259","1,195","1,186","1,166"
Stanton County, Nebraska,"6,087","6,097","5,944","5,975","5,974","5,970","5,920"
Thayer County, Nebraska,"5,179","5,213","5,129","5,080","5,034","5,039","5,003"
Thomas County, Nebraska,705,701,693,722,722,714,722
Thurston County, Nebraska,"6,872","6,961","7,073","7,139","7,196","7,274","7,224"
Valley County, Nebraska,"4,181","4,217","4,168","4,201","4,227","4,197","4,158"
Washington County, Nebraska,"19,851","19,930","19,917","20,213","20,328","20,617","20,729"
Wayne County, Nebraska,"9,441","9,402","9,366","9,379","9,213","9,318","9,385"
Webster County, Nebraska,"3,643","3,645","3,592","3,566","3,505","3,534","3,487"
Wheeler County, Nebraska,779,786,779,804,815,802,783
York County, Nebraska,"13,852","13,917","13,797","13,740","13,762","13,748","13,679"
Churchill County, Nevada,"23,927","23,824","23,957","23,904","24,021","24,506","24,909"
Clark County, Nevada,"2,017,193","2,053,134","2,096,717","2,138,836","2,181,635","2,226,115","2,266,715"
Douglas County, Nevada,"46,935","47,373","47,404","47,834","48,030","48,489","48,905"
Elko County, Nevada,"52,334","52,531","51,728","52,082","52,357","52,539","52,778"
Esmeralda County, Nevada,847,824,830,826,843,827,873
Eureka County, Nevada,"2,049","1,988","2,029","1,936","1,946","1,998","2,029"
Humboldt County, Nevada,"17,354","17,215","17,017","16,795","16,719","16,778","16,831"
Lander County, Nevada,"6,060","5,968","5,873","5,684","5,579","5,547","5,532"
Lincoln County, Nevada,"5,267","5,199","5,136","5,154","5,191","5,237","5,183"
Lyon County, Nevada,"51,090","51,334","51,974","52,707","53,895","55,813","57,510"
Mineral County, Nevada,"4,553","4,469","4,420","4,376","4,455","4,544","4,505"
Nye County, Nevada,"42,869","42,840","42,966","43,248","43,977","45,186","46,523"
Pershing County, Nevada,"6,842","6,702","6,618","6,576","6,469","6,685","6,725"
Storey County, Nevada,"3,795","3,803","3,876","3,986","3,976","3,981","4,123"
Washoe County, Nevada,"431,083","436,307","442,453","449,723","456,629","464,354","471,519"
White Pine County, Nevada,"10,046","10,035","9,873","9,749","9,651","9,540","9,580"
Carson City, Nevada,"53,726","54,082","54,068","54,147","54,532","55,202","55,916"
Belknap County, New Hampshire,"60,235","60,285","60,370","60,747","60,872","61,145","61,303"
Carroll County, New Hampshire,"47,520","47,433","47,399","47,497","48,132","48,754","48,910"
Cheshire County, New Hampshire,"76,712","76,426","76,288","75,975","75,963","75,901","76,085"
Coos County, New Hampshire,"31,949","32,779","32,343","31,916","31,396","31,486","31,563"
Grafton County, New Hampshire,"89,894","89,930","89,439","90,004","89,853","89,701","89,886"
Hillsborough County, New Hampshire,"405,281","407,275","408,985","411,333","413,204","414,630","417,025"
Merrimack County, New Hampshire,"147,497","148,161","148,649","149,063","149,830","150,650","151,391"
Rockingham County, New Hampshire,"299,456","301,361","302,691","304,377","306,669","308,287","309,769"
Strafford County, New Hampshire,"125,029","126,542","127,038","128,311","129,841","129,797","130,633"
Sullivan County, New Hampshire,"43,049","43,149","43,148","43,084","43,027","43,114","43,146"
Atlantic County, New Jersey,"274,314","272,578","270,153","267,217","265,498","263,989","263,670"
Bergen County, New Jersey,"919,951","923,403","926,391","928,120","932,420","932,816","932,202"
Burlington County, New Jersey,"448,824","448,168","446,832","445,972","445,610","444,745","445,349"
Camden County, New Jersey,"509,908","508,316","507,638","507,002","506,224","506,353","506,471"
Cape May County, New Jersey,"95,498","94,907","94,160","93,655","93,129","92,446","92,039"
Cumberland County, New Jersey,"156,098","156,009","154,712","153,233","151,423","150,635","149,527"
Essex County, New Jersey,"786,649","788,726","790,439","792,689","796,349","798,570","798,975"
Gloucester County, New Jersey,"289,883","290,680","290,943","290,761","290,961","291,525","291,636"
Hudson County, New Jersey,"657,047","660,240","664,492","668,588","672,826","671,931","672,391"
Hunterdon County, New Jersey,"126,376","125,835","125,452","124,775","124,712","124,807","124,371"
Mercer County, New Jersey,"369,429","368,909","368,124","367,699","368,168","368,188","367,430"
Middlesex County, New Jersey,"821,743","824,160","825,546","825,457","827,363","826,172","825,062"
Monmouth County, New Jersey,"626,912","625,512","624,079","622,971","621,990","620,459","618,795"
Morris County, New Jersey,"496,030","494,848","494,259","493,801","493,920","493,070","491,845"
Ocean County, New Jersey,"582,059","584,447","587,091","590,897","595,424","601,478","607,186"
Passaic County, New Jersey,"503,857","504,547","504,629","504,147","504,402","503,183","501,826"
Salem County, New Jersey,"64,786","64,323","63,732","63,203","62,883","62,746","62,385"
Somerset County, New Jersey,"329,047","329,329","329,626","329,875","330,573","330,181","328,934"
Sussex County, New Jersey,"145,639","144,593","143,004","141,925","141,197","140,801","140,488"
Union County, New Jersey,"546,025","548,014","549,905","552,781","554,738","556,402","556,341"
Warren County, New Jersey,"106,897","106,981","106,742","106,059","105,715","105,528","105,267"
Bernalillo County, New Mexico,"676,326","675,957","676,248","677,683","678,203","678,034","679,121"
Catron County, New Mexico,"3,586","3,547","3,476","3,518","3,553","3,554","3,527"
Chaves County, New Mexico,"66,009","65,809","65,825","65,646","65,080","64,554","64,615"
Cibola County, New Mexico,"27,414","27,155","27,044","27,049","26,921","26,766","26,675"
Colfax County, New Mexico,"13,068","12,703","12,429","12,250","12,151","12,071","11,941"
Curry County, New Mexico,"50,775","51,109","50,290","50,283","49,794","49,338","48,954"
De Baca County, New Mexico,"1,928","1,861","1,873","1,835","1,805","1,779","1,748"
Doña Ana County, New Mexico,"214,288","213,933","214,034","214,663","216,174","217,278","218,195"
Eddy County, New Mexico,"55,662","56,682","57,715","57,650","57,108","57,729","58,460"
Grant County, New Mexico,"29,104","28,871","28,364","28,040","27,642","27,303","26,998"
Guadalupe County, New Mexico,"4,531","4,442","4,350","4,369","4,410","4,334","4,300"
Harding County, New Mexico,691,693,719,687,684,650,625
Hidalgo County, New Mexico,"4,624","4,549","4,436","4,324","4,298","4,231","4,198"
Lea County, New Mexico,"68,613","70,165","71,476","70,249","69,046","69,543","71,070"
Lincoln County, New Mexico,"19,976","19,597","19,352","19,397","19,468","19,518","19,572"
Los Alamos County, New Mexico,"17,947","17,803","17,817","18,209","18,742","18,988","19,369"
Luna County, New Mexico,"24,592","24,428","24,367","24,362","24,100","23,877","23,709"
McKinley County, New Mexico,"72,665","72,796","73,462","73,028","72,423","71,911","71,367"
Mora County, New Mexico,"4,695","4,613","4,609","4,533","4,530","4,487","4,521"
Otero County, New Mexico,"66,304","65,336","64,768","65,647","66,121","66,659","67,490"
Quay County, New Mexico,"8,675","8,465","8,445","8,390","8,299","8,242","8,253"
Rio Arriba County, New Mexico,"40,064","39,736","39,370","39,245","39,235","39,023","38,921"
Roosevelt County, New Mexico,"20,021","19,647","19,137","19,145","18,900","18,759","18,500"
Sandoval County, New Mexico,"136,311","137,023","138,521","140,464","142,689","145,096","146,748"
San Juan County, New Mexico,"129,467","129,084","128,246","127,954","126,917","125,499","123,958"
San Miguel County, New Mexico,"28,819","28,493","28,215","28,005","27,715","27,480","27,277"
Santa Fe County, New Mexico,"147,465","147,782","148,098","148,758","149,491","149,761","150,358"
Sierra County, New Mexico,"11,524","11,264","11,236","11,117","11,064","10,949","10,791"
Socorro County, New Mexico,"17,509","17,258","17,152","16,964","16,832","16,704","16,637"
Taos County, New Mexico,"32,957","32,963","32,797","32,922","32,790","32,699","32,723"
Torrance County, New Mexico,"15,825","15,666","15,596","15,491","15,535","15,512","15,461"
Union County, New Mexico,"4,347","4,246","4,163","4,154","4,180","4,108","4,059"
Valencia County, New Mexico,"76,491","75,892","75,661","75,599","75,884","76,305","76,688"
Albany County, New York,"306,589","307,151","307,433","307,597","307,717","306,585","305,506"
Allegany County, New York,"47,900","47,652","47,334","47,044","46,639","46,332","46,091"
Bronx County, New York,"1,421,928","1,430,942","1,440,005","1,444,417","1,440,625","1,432,087","1,418,207"
Broome County, New York,"197,914","197,251","195,928","194,498","193,100","191,925","190,488"
Cattaraugus County, New York,"78,996","78,677","77,926","77,658","77,176","76,726","76,117"
Cayuga County, New York,"79,088","78,762","78,298","77,674","77,457","77,121","76,576"
Chautauqua County, New York,"132,852","131,751","130,529","129,206","128,372","127,472","126,903"
Chemung County, New York,"88,199","87,177","86,705","85,644","84,736","83,935","83,456"
Chenango County, New York,"49,477","49,319","48,772","48,315","47,805","47,445","47,207"
Clinton County, New York,"81,523","81,463","80,718","80,500","80,531","80,679","80,485"
Columbia County, New York,"62,170","61,942","61,434","60,835","60,338","59,785","59,461"
Cortland County, New York,"48,905","48,740","48,290","47,915","47,815","47,722","47,581"
Delaware County, New York,"46,803","46,562","45,891","45,393","45,028","44,526","44,135"
Dutchess County, New York,"296,268","295,127","294,039","293,029","293,545","293,939","294,218"
Erie County, New York,"920,869","921,755","920,644","918,678","919,034","919,717","918,702"
Essex County, New York,"38,601","38,323","37,965","37,671","37,487","37,288","36,885"
Franklin County, New York,"51,212","51,096","50,540","51,081","50,465","50,279","50,022"
Fulton County, New York,"54,345","53,932","53,801","53,610","53,802","53,633","53,383"
Genesee County, New York,"59,112","58,725","58,462","58,013","57,798","57,487","57,280"
Greene County, New York,"48,308","47,964","47,616","47,494","47,442","47,381","47,188"
Hamilton County, New York,"4,766","4,700","4,699","4,556","4,471","4,432","4,416"
Herkimer County, New York,"63,883","63,384","62,652","62,436","62,163","61,713","61,319"
Jefferson County, New York,"118,490","117,971","116,371","112,980","113,157","111,866","109,834"
Kings County, New York,"2,587,684","2,601,513","2,608,794","2,608,423","2,594,676","2,578,074","2,559,903"
Lewis County, New York,"27,098","27,089","26,827","26,647","26,605","26,486","26,296"
Livingston County, New York,"64,627","64,585","64,344","64,000","63,483","63,213","62,914"
Madison County, New York,"72,457","72,210","71,636","71,387","70,942","71,117","70,941"
Monroe County, New York,"748,290","747,364","745,577","743,770","742,724","742,864","741,770"
Montgomery County, New York,"49,743","49,679","49,564","49,169","49,163","49,394","49,221"
Nassau County, New York,"1,352,193","1,354,705","1,354,840","1,355,952","1,357,293","1,357,534","1,356,924"
New York County, New York,"1,627,491","1,630,678","1,636,063","1,635,443","1,630,698","1,629,055","1,628,706"
Niagara County, New York,"214,105","213,305","212,358","211,554","210,848","210,060","209,281"
Oneida County, New York,"233,347","232,598","231,264","230,375","230,011","229,474","228,671"
Onondaga County, New York,"468,146","467,285","466,277","464,109","461,795","461,649","460,528"
Ontario County, New York,"109,044","109,334","109,271","109,229","109,538","109,738","109,777"
Orange County, New York,"374,320","374,845","375,803","377,799","379,758","382,126","384,940"
Orleans County, New York,"42,229","41,861","41,481","41,247","40,786","40,655","40,352"
Oswego County, New York,"121,170","120,590","119,735","118,895","118,427","117,515","117,124"
Otsego County, New York,"61,614","60,950","60,504","60,132","59,920","59,810","59,493"
Putnam County, New York,"99,572","99,438","99,185","98,761","98,856","98,814","98,320"
Queens County, New York,"2,287,185","2,298,736","2,305,838","2,306,830","2,295,808","2,274,605","2,253,858"
Rensselaer County, New York,"159,545","159,666","159,436","159,294","159,200","159,283","158,714"
Richmond County, New York,"471,803","471,937","472,349","474,040","475,671","476,260","476,143"
Rockland County, New York,"319,284","321,119","322,919","323,258","324,622","325,522","325,789"
St, Lawrence County,"111,931","111,437","110,348","109,449","108,699","108,327","107,740"
Saratoga County, New York,"224,087","224,513","226,078","227,122","229,276","230,170","229,863"
Schenectady County, New York,"154,944","155,016","154,733","154,475","154,710","155,079","155,299"
Schoharie County, New York,"31,900","31,767","31,405","31,304","31,255","31,146","30,999"
Schuyler County, New York,"18,382","18,176","18,027","17,967","17,913","17,884","17,807"
Seneca County, New York,"35,250","34,879","34,801","34,710","34,246","34,179","34,016"
Steuben County, New York,"98,843","98,165","97,551","96,958","96,360","95,860","95,379"
Suffolk County, New York,"1,497,346","1,495,525","1,491,967","1,486,406","1,483,358","1,480,830","1,476,601"
Sullivan County, New York,"76,945","75,634","74,832","74,922","74,994","75,399","75,432"
Tioga County, New York,"50,103","49,824","49,355","48,824","48,609","48,441","48,203"
Tompkins County, New York,"103,553","103,391","103,006","102,942","102,664","102,419","102,180"
Ulster County, New York,"180,698","180,400","179,658","179,042","178,635","178,418","177,573"
Warren County, New York,"65,083","64,866","64,420","64,438","64,365","64,215","63,944"
Washington County, New York,"62,765","62,475","62,246","61,795","61,559","61,274","61,204"
Wayne County, New York,"92,339","91,801","91,291","90,758","90,429","90,200","89,918"
Westchester County, New York,"964,567","967,044","968,773","970,267","969,689","968,213","967,506"
Wyoming County, New York,"41,359","41,134","40,930","40,432","40,282","40,023","39,859"
Yates County, New York,"25,207","25,149","25,128","25,059","25,002","24,951","24,913"
Alamance County, North Carolina,"154,162","155,384","157,037","160,283","163,276","166,514","169,509"
Alexander County, North Carolina,"37,012","36,987","36,960","37,133","37,143","37,331","37,497"
Alleghany County, North Carolina,"10,903","10,891","10,856","10,919","10,988","11,138","11,137"
Anson County, North Carolina,"25,957","25,965","25,602","25,165","24,829","24,470","24,446"
Ashe County, North Carolina,"26,840","26,764","26,628","26,600","26,787","27,099","27,203"
Avery County, North Carolina,"17,654","17,650","17,486","17,442","17,517","17,528","17,557"
Beaufort County, North Carolina,"47,382","47,339","47,389","47,369","47,033","47,056","46,994"
Bertie County, North Carolina,"20,326","20,316","20,162","19,423","19,263","19,106","18,947"
Bladen County, North Carolina,"34,618","34,361","34,083","33,638","33,443","33,151","32,722"
Brunswick County, North Carolina,"114,922","118,305","122,211","126,304","130,859","136,880","142,820"
Buncombe County, North Carolina,"246,807","249,084","251,954","254,955","257,071","259,259","261,191"
Burke County, North Carolina,"89,354","89,296","89,341","89,451","90,157","90,405","90,485"
Cabarrus County, North Carolina,"187,240","191,680","196,396","201,639","206,988","211,597","216,453"
Caldwell County, North Carolina,"82,048","81,667","81,518","81,766","81,933","82,026","82,178"
Camden County, North Carolina,"10,116","10,278","10,282","10,397","10,532","10,676","10,867"
Carteret County, North Carolina,"68,388","68,629","68,712","68,808","68,921","69,438","69,473"
Caswell County, North Carolina,"23,093","22,807","22,813","22,755","22,616","22,634","22,604"
Catawba County, North Carolina,"154,965","155,085","155,527","156,448","157,852","158,687","159,551"
Chatham County, North Carolina,"65,243","66,669","68,263","69,642","71,189","73,127","74,470"
Cherokee County, North Carolina,"27,125","27,078","27,102","27,809","27,954","28,369","28,612"
Chowan County, North Carolina,"14,668","14,502","14,248","14,201","14,029","14,065","13,943"
Clay County, North Carolina,"10,597","10,566","10,623","10,749","11,004","11,124","11,231"
Cleveland County, North Carolina,"96,873","97,009","96,850","96,960","97,134","97,519","97,947"
Columbus County, North Carolina,"57,080","56,883","56,675","56,292","56,047","55,819","55,508"
Craven County, North Carolina,"104,285","104,055","102,853","102,632","102,492","102,338","102,139"
Cumberland County, North Carolina,"332,997","332,364","331,203","333,167","330,994","333,430","335,509"
Currituck County, North Carolina,"24,253","24,820","25,106","25,640","26,290","27,016","27,763"
Dare County, North Carolina,"34,810","34,894","35,468","35,829","36,199","36,607","37,009"
Davidson County, North Carolina,"163,295","163,383","163,486","164,270","165,180","166,358","167,609"
Davie County, North Carolina,"41,435","41,259","41,648","41,921","42,308","42,563","42,846"
Duplin County, North Carolina,"59,328","59,432","58,883","59,275","58,943","58,991","58,741"
Durham County, North Carolina,"288,723","295,137","300,793","307,826","312,153","316,979","321,488"
Edgecombe County, North Carolina,"55,422","54,866","53,743","53,283","52,756","51,984","51,472"
Forsyth County, North Carolina,"360,594","364,439","367,365","371,260","375,840","379,216","382,295"
Franklin County, North Carolina,"62,074","62,691","63,668","64,676","66,155","67,625","69,685"
Gaston County, North Carolina,"209,212","210,545","212,919","216,622","219,656","222,630","224,529"
Gates County, North Carolina,"11,703","11,633","11,531","11,569","11,514","11,563","11,562"
