County,State,2013,2014,2015,2016,2017,2018,2019
Izard County, Arkansas,"13,411","13,557","13,487","13,488","13,666","13,582","13,629"
Jackson County, Arkansas,"17,729","17,591","17,365","17,282","17,017","16,753","16,719"
Jefferson County, Arkansas,"73,191","72,458","71,872","70,407","69,238","68,067","66,824"
Johnson County, Arkansas,"25,932","25,969","26,094","26,127","26,401","26,659","26,578"
Lafayette County, Arkansas,"7,284","7,158","7,010","6,888","6,797","6,679","6,624"
Lawrence County, Arkansas,"17,054","16,969","16,696","16,639","16,571","16,432","16,406"
Lee County, Arkansas,"10,010","9,839","9,672","9,337","9,127","8,976","8,857"
Lincoln County, Arkansas,"14,063","14,025","13,866","13,728","13,475","13,184","13,024"
Little River County, Arkansas,"12,733","12,503","12,402","12,406","12,373","12,297","12,259"
Logan County, Arkansas,"22,031","21,866","21,729","21,732","21,739","21,673","21,466"
Lonoke County, Arkansas,"70,742","71,368","71,359","71,803","72,778","73,391","73,309"
Madison County, Arkansas,"15,679","15,731","15,705","16,112","16,299","16,362","16,576"
Marion County, Arkansas,"16,444","16,423","16,215","16,376","16,429","16,665","16,694"
Miller County, Arkansas,"43,402","43,458","43,792","43,713","43,736","43,362","43,257"
Mississippi County, Arkansas,"44,695","44,247","43,729","42,900","42,112","41,236","40,651"
Monroe County, Arkansas,"7,690","7,634","7,452","7,205","7,013","6,880","6,701"
Montgomery County, Arkansas,"9,252","9,162","9,027","8,936","8,890","8,910","8,986"
Nevada County, Arkansas,"8,772","8,645","8,508","8,378","8,309","8,308","8,252"
Newton County, Arkansas,"8,042","7,867","7,846","7,848","7,815","7,800","7,753"
Ouachita County, Arkansas,"24,948","24,761","24,316","24,013","23,817","23,620","23,382"
Perry County, Arkansas,"10,335","10,360","10,307","10,286","10,346","10,380","10,455"
Phillips County, Arkansas,"20,437","19,952","19,546","19,050","18,599","18,054","17,782"
Pike County, Arkansas,"11,121","10,989","10,837","10,826","10,735","10,666","10,718"
Poinsett County, Arkansas,"24,187","24,152","24,002","23,974","24,071","23,903","23,528"
Polk County, Arkansas,"20,342","20,249","20,194","20,145","20,147","20,019","19,964"
