Area_name,,Vacant housing units 2010 (complete count),"Housing units - median rooms, 2005-2009",Occupied housing units 2010 (complete count),,
Redwood, MN,692,6.2,6580,,
Renville, MN,791,6.1,6564,,
Rice, MN,2138,6.2,22315,,
Rock, MN,344,6.3,3918,,
Roseau, MN,1169,5.6,6300,,
St. Louis, MN,18275,5.3,84783,,
Scott, MN,2016,7,45108,,
Sherburne, MN,2167,6.5,30212,,
Sibley, MN,548,6.3,6034,,
Stearns, MN,5742,5.9,56232,,
Steele, MN,1013,6.4,14330,,
Stevens, MN,434,6,3726,,
Swift, MN,599,5.9,4236,,
Todd, MN,3161,5.6,9756,,
Traverse, MN,549,5.8,1524,,
Wabasha, MN,1175,6.1,8822,,
Wadena, MN,1194,5.4,5705,,
Waseca, MN,622,6.2,7281,,
Washington, MN,4515,6.7,87859,,
Watonwan, MN,527,6.1,4520,,
Wilkin, MN,388,6.1,2690,,
Winona, MN,1206,5.8,19554,,
Wright, MN,4527,6.5,44473,,
Yellow Medicine, MN,468,6.3,4292,,
MISSISSIPPI,,158951,5.4,1115768,,
Adams, MS,2013,5.3,12643,,
Alcorn, MS,2038,5.3,15039,,
Amite, MS,1284,5.5,5351,,
Attala, MS,1507,5.3,7619,,
Benton, MS,782,5.3,3404,,
Bolivar, MS,1343,5.1,12727,,
Calhoun, MS,925,5.2,5988,,
Carroll, MS,864,5.4,4188,,
Chickasaw, MS,875,5.3,6639,,
Choctaw, MS,704,5.2,3446,,
Claiborne, MS,783,5.4,3440,,
Clarke, MS,1143,5.3,6733,,
Clay, MS,1151,5.3,8029,,
Coahoma, MS,1331,5.2,9461,,
Copiah, MS,1476,5.3,10708,,
Covington, MS,1066,5.4,7430,,
DeSoto, MS,3886,5.8,57748,,
Forrest, MS,3543,5.1,28746,,
Franklin, MS,943,5.2,3211,,
George, MS,1348,5.5,7982,,
Greene, MS,817,5.3,4306,,
Grenada, MS,1376,5.4,8779,,
Hancock, MS,4460,5.3,17380,,
Harrison, MS,13705,5.3,71476,,
Hinds, MS,12070,5.4,91351,,
Holmes, MS,1489,5.2,6926,,
Humphreys, MS,482,5.3,3373,,
Issaquena, MS,88,5.1,472,,
Itawamba, MS,1245,5.4,8881,,
Jackson, MS,7862,5.4,52205,,
Jasper, MS,1414,5.4,6798,,
Jefferson, MS,744,5.2,2929,,
Jefferson Davis, MS,899,5.3,4977,,
Jones, MS,3177,5.4,25247,,
Kemper, MS,802,5.3,3920,,
Lafayette, MS,4373,5.1,18356,,
Lamar, MS,2528,5.7,21542,,
Lauderdale, MS,3608,5.3,31090,,
Lawrence, MS,941,5.2,5078,,
Leake, MS,1143,5.3,8272,,
Lee, MS,3786,5.4,32086,,
Leflore, MS,1622,5.1,11577,,
Lincoln, MS,1959,5.4,13296,,
Lowndes, MS,3069,5.4,23487,,
Madison, MS,2729,5.7,35829,,
Marion, MS,1703,5.4,10135,,
Marshall, MS,1512,5.4,13369,,
Monroe, MS,1970,5.4,14485,,
Montgomery, MS,756,5.4,4438,,
Neshoba, MS,1501,5.2,10856,,
Newton, MS,1159,5.4,8214,,
Noxubee, MS,865,5.2,4305,,
Oktibbeha, MS,2127,5,18820,,
Panola, MS,1858,5.2,12839,,
Pearl River, MS,3152,5.4,20816,,
Perry, MS,845,5.1,4674,,
Pike, MS,2491,5.4,15370,,
Pontotoc, MS,1268,5.4,11172,,
Prentiss, MS,1242,5.2,9812,,
Quitman, MS,531,5.2,3058,,
Rankin, MS,3651,5.5,52836,,
Scott, MS,1222,5.2,10248,,
Sharkey, MS,266,5.3,1834,,
Simpson, MS,1604,5.3,10330,,
Smith, MS,1016,5.3,6221,,
Stone, MS,996,5.3,6165,,
Sunflower, MS,863,5.2,8822,,
Tallahatchie, MS,674,5.3,4856,,
Tate, MS,912,5.4,10035,,
Tippah, MS,1099,5.2,8597,,
Tishomingo, MS,2147,5.3,8148,,
Tunica, MS,876,4.9,3927,,
Union, MS,1203,5.4,10317,,
Walthall, MS,1244,5.4,5888,,
Warren, MS,2955,5.3,18941,,
Washington, MS,2772,5.2,18936,,
Wayne, MS,1109,5.3,8104,,
Webster, MS,744,5.4,4060,,
Wilkinson, MS,1582,5.2,3455,,
Winston, MS,1251,5.4,7494,,
Yalobusha, MS,1178,5.2,5166,,
Yazoo, MS,1214,5.3,8860,,
MISSOURI,,337118,5.5,2375611,,
Adair, MO,1386,5.1,9877,,
Andrew, MO,606,5.8,6700,,
Atchison, MO,487,6,2498,,
Audrain, MO,1262,5.7,9590,,
Barry, MO,3466,5.4,14057,,
Barton, MO,671,5.9,4929,,
Bates, MO,1098,5.4,6744,,
Benton, MO,5701,5.1,8449,,
Bollinger, MO,1031,5.2,4847,,
Boone, MO,5474,5.4,64077,,
Buchanan, MO,3918,5.6,34509,,
Butler, MO,2117,5.2,17614,,
Caldwell, MO,929,5.4,3676,,
Callaway, MO,2189,5.8,16333,,
Camden, MO,22115,5.1,19068,,
Cape Girardeau, MO,2768,5.5,29848,,
Carroll, MO,765,5.7,3865,,
Carter, MO,688,5.1,2559,,
Cass, MO,2880,6,37150,,
Cedar, MO,1386,5.3,5838,,
Chariton, MO,925,5.8,3242,,
Christian, MO,2499,5.7,29077,,
Clark, MO,540,5.4,2933,,
Clay, MO,6701,6,87217,,
Clinton, MO,925,5.8,7951,,
Cole, MO,2602,5.9,29722,,
Cooper, MO,909,5.7,6554,,
Crawford, MO,2124,5.2,9831,,
Dade, MO,694,5.3,3271,,
Dallas, MO,1138,5.3,6524,,
Daviess, MO,985,5.5,3214,,
DeKalb, MO,490,5.5,3839,,
Dent, MO,947,5.2,6338,,
Douglas, MO,932,5.3,5587,,
Dunklin, MO,1582,5.2,12837,,
Franklin, MO,4249,5.4,39170,,
Gasconade, MO,1955,5.5,6250,,
Gentry, MO,535,5.5,2674,,
Greene, MO,11143,5.4,114244,,
Grundy, MO,819,5.5,4204,,
Harrison, MO,738,5.4,3669,,
Henry, MO,1481,5.4,9405,,
Hickory, MO,2464,5.2,4371,,
Holt, MO,673,5.7,2133,,
Howard, MO,601,5.5,3981,,
Howell, MO,1829,5.4,16192,,
Iron, MO,951,5.2,4378,,
Jackson, MO,37301,5.6,274804,,
Jasper, MO,5029,5.4,45639,,
Jefferson, MO,5926,5.5,81700,,
Johnson, MO,2217,5.3,19311,,
Knox, MO,581,5.4,1708,,
Laclede, MO,1697,5.4,14081,,
Lafayette, MO,1696,5.6,13022,,
Lawrence, MO,1780,5.6,14869,,
Lewis, MO,661,5.5,3874,,
Lincoln, MO,2105,5.5,18906,,
Linn, MO,1130,5.7,5299,,
Livingston, MO,859,5.7,5871,,
McDonald, MO,1521,5.1,8404,,
Macon, MO,1253,5.6,6412,,
Madison, MO,1072,5.2,4898,,
Maries, MO,906,5.3,3705,,
Marion, MO,1449,5.4,11377,,
Mercer, MO,575,5.2,1560,,
Miller, MO,2841,5.4,9917,,
Mississippi, MO,531,5,5180,,
Moniteau, MO,644,5.7,5532,,
Monroe, MO,1160,5.6,3638,,
Montgomery, MO,1262,5.4,4868,,
Morgan, MO,7067,5.3,8450,,
New Madrid, MO,789,5.1,7742,,
Newton, MO,2292,5.6,22021,,
Nodaway, MO,979,5.5,8545,,
Oregon, MO,959,5.1,4527,,
Osage, MO,1205,5.9,5328,,
Ozark, MO,1458,5.2,4194,,
Pemiscot, MO,811,5.1,7350,,
Perry, MO,1211,5.5,7357,,
Pettis, MO,1821,5.5,16428,,
Phelps, MO,1969,5.3,17564,,
Pike, MO,1315,5.4,6560,,
Platte, MO,3120,6.2,36103,,
Polk, MO,1627,5.7,11677,,
Pulaski, MO,1900,5.4,16004,,
Putnam, MO,850,5.6,2132,,
Ralls, MO,1092,5.5,4091,,
Randolph, MO,1372,5.5,9342,,
Ray, MO,1027,5.8,8957,,
Reynolds, MO,1255,5.1,2778,,
Ripley, MO,960,5.1,5637,,
St. Charles, MO,6742,6.1,134274,,
St. Clair, MO,1479,5.1,4161,,
Ste. Genevieve, MO,1597,5.5,7040,,
St. Francois, MO,4477,5.2,23981,,
St. Louis, MO,33267,5.8,404765,,
Saline, MO,1234,5.5,8883,,
Schuyler, MO,306,5.4,1796,,
Scotland, MO,489,5.6,1880,,
Scott, MO,1449,5.3,15538,,
Shannon, MO,716,5.1,3448,,
Shelby, MO,625,5.8,2581,,
Stoddard, MO,1354,5.3,12255,,
Stone, MO,6683,5.2,13690,,
Sullivan, MO,618,5.2,2740,,
Taney, MO,8500,5.1,20755,,
Texas, MO,1628,5.3,10057,,
Vernon, MO,1099,5.4,8396,,
Warren, MO,2346,5.4,12339,,
Washington, MO,1662,5.1,9355,,
Wayne, MO,2366,4.8,5717,,
Webster, MO,1355,5.5,13062,,
Worth, MO,337,5.6,944,,
Wright, MO,1201,5.3,7499,,
St. Louis city, MO,33945,4.7,142057,,
MONTANA,,73218,5.3,409607,,
Beaverhead, MT,1259,5.4,4014,,
Big Horn, MT,691,5.1,4004,,
Blaine, MT,486,5.4,2357,,
Broadwater, MT,348,5.3,2347,,
Carbon, MT,1870,5.1,4571,,
Carter, MT,278,5.3,532,,
Cascade, MT,3467,5.5,33809,,
Chouteau, MT,585,5.6,2294,,
Custer, MT,529,5.6,5031,,
Daniels, MT,313,5.5,798,,
Dawson, MT,484,5.9,3749,,
Deer Lodge, MT,1104,5.2,4018,,
Fallon, MT,237,5.9,1233,,
Fergus, MT,737,5.3,5099,,
Flathead, MT,9459,5.4,37504,,
Gallatin, MT,5739,5.3,36550,,
Garfield, MT,312,4.8,532,,
Glacier, MT,987,5.1,4361,,
Golden Valley, MT,113,5.2,363,,
Granite, MT,1405,4.6,1417,,
Hill, MT,975,5.7,6275,,
Jefferson, MT,543,5.8,4512,,
Judith Basin, MT,412,5.7,924,,
Lake, MT,5156,5.3,11432,,
Lewis and Clark, MT,3486,5.4,26694,,
Liberty, MT,221,6,822,,
Lincoln, MT,2570,4.9,8843,,
McCone, MT,234,5.3,774,,
Madison, MT,3380,5.1,3560,,
Meagher, MT,626,4.5,806,,
Mineral, MT,535,5.1,1911,,
Missoula, MT,4180,5.1,45926,,
Musselshell, MT,608,4.9,2046,,
Park, MT,2065,5.3,7310,,
Petroleum, MT,99,5.9,225,,
Phillips, MT,516,5.6,1819,,
Pondera, MT,374,5.6,2285,,
Powder River, MT,267,5.5,755,,
Powell, MT,639,5.4,2466,,
Prairie, MT,122,5.3,551,,
Ravalli, MT,2650,5.5,16933,,
Richland, MT,383,5.7,4167,,
Roosevelt, MT,510,5.2,3553,,
Rosebud, MT,662,5.2,3395,,
Sanders, MT,1557,5,5121,,
Sheridan, MT,502,6,1587,,
Silver Bow, MT,1785,5.2,14932,,
Stillwater, MT,1007,5.3,3796,,
Sweet Grass, MT,558,5.5,1590,,
Teton, MT,442,5.7,2450,,
Toole, MT,321,5.6,2015,,
Treasure, MT,87,5.3,335,,
Valley, MT,1681,5.3,3198,,
Wheatland, MT,310,5.7,887,,
Wibaux, MT,81,5.1,457,,
Yellowstone, MT,3271,5.6,60672,,
Yellowstone National Park, MT,0,0,0,,
NEBRASKA,,75663,5.8,721130,,
Adams, NE,884,5.8,12466,,
Antelope, NE,443,6.1,2841,,
Arthur, NE,67,5.9,187,,
Banner, NE,76,6,293,,
Blaine, NE,130,5.8,196,,
Boone, NE,313,6.3,2336,,
Box Butte, NE,740,5.4,4738,,
Boyd, NE,448,5.6,942,,
Brown, NE,416,5.5,1449,,
Buffalo, NE,1027,5.7,18037,,
Burt, NE,561,6,2906,,
Butler, NE,662,6.1,3391,,
Cass, NE,1419,6.1,9698,,
Cedar, NE,609,6.3,3539,,
Chase, NE,265,5.7,1681,,
Cherry, NE,627,5.7,2530,,
Cheyenne, NE,590,5.5,4298,,
Clay, NE,352,6.1,2649,,
Colfax, NE,479,5.7,3618,,
Cuming, NE,448,6.3,3756,,
Custer, NE,865,5.8,4714,,
Dakota, NE,413,5.4,7218,,
Dawes, NE,568,5.3,3684,,
Dawson, NE,1224,5.5,8899,,
Deuel, NE,177,5.9,867,,
Dixon, NE,318,6,2370,,
Dodge, NE,1594,5.5,14990,,
Douglas, NE,17169,5.7,202411,,
Dundy, NE,228,6.3,897,,
Fillmore, NE,430,6.2,2483,,
Franklin, NE,328,6.2,1406,,
Frontier, NE,406,5.9,1168,,
Furnas, NE,536,5.9,2185,,
Gage, NE,1024,5.9,9422,,
Garden, NE,353,5.6,961,,
Garfield, NE,243,5.5,935,,
Gosper, NE,418,5.3,849,,
Grant, NE,114,5.4,277,,
Greeley, NE,231,5.8,1069,,
Hall, NE,1353,5.7,22196,,
Hamilton, NE,405,6.4,3563,,
Harlan, NE,856,5.5,1519,,
Hayes, NE,97,6,414,,
Hitchcock, NE,462,5.4,1301,,
Holt, NE,768,5.7,4447,,
Hooker, NE,105,6.2,326,,
Howard, NE,326,6.1,2625,,
Jefferson, NE,570,6,3348,,
Johnson, NE,344,5.8,1847,,
Kearney, NE,205,6.4,2681,,
Keith, NE,1671,5.5,3753,,
Keya Paha, NE,168,5.6,381,,
Kimball, NE,290,5.9,1673,,
Knox, NE,1141,5.7,3647,,
Lancaster, NE,7502,5.6,113373,,
Lincoln, NE,1558,5.7,15025,,
Logan, NE,70,6.2,325,,
Loup, NE,151,5.6,275,,
McPherson, NE,72,5.3,211,,
Madison, NE,1075,5.6,13939,,
Merrick, NE,547,5.9,3151,,
Morrill, NE,357,5.7,2085,,
Nance, NE,276,5.9,1525,,
Nemaha, NE,546,6,2952,,
Nuckolls, NE,386,5.9,2079,,
Otoe, NE,663,5.8,6362,,
Pawnee, NE,358,6.2,1230,,
Perkins, NE,211,6.2,1239,,
Phelps, NE,396,6,3779,,
Pierce, NE,311,5.9,2911,,
Platte, NE,720,6,12658,,
Polk, NE,519,6.4,2212,,
Red Willow, NE,604,5.6,4663,,
Richardson, NE,675,6,3718,,
Rock, NE,227,5.8,685,,
Saline, NE,631,5.8,5131,,
Sarpy, NE,3836,6.2,58102,,
Saunders, NE,1181,6.3,8040,,
Scotts Bluff, NE,1480,5.5,14928,,
Seward, NE,609,6.2,6266,,
Sheridan, NE,556,5.5,2380,,
Sherman, NE,549,5.5,1392,,
Sioux, NE,238,6,577,,
Stanton, NE,246,6.5,2387,,
Thayer, NE,435,6.1,2296,,
Thomas, NE,111,6.2,291,,
Thurston, NE,250,5.5,2158,,
Valley, NE,351,5.9,1922,,
Washington, NE,540,6.5,7761,,
Wayne, NE,269,6.3,3507,,
Webster, NE,308,5.7,1604,,
Wheeler, NE,226,5,350,,
York, NE,667,6.2,5564,,
NEVADA,,167564,5.3,1006250,,
Churchill, NV,1155,5.5,9671,,
Clark, NV,124978,5.3,715365,,
Douglas, NV,4033,5.7,19638,,
Elko, NV,2124,5.4,17442,,
Esmeralda, NV,461,4.4,389,,
Eureka, NV,240,4.9,836,,
Humboldt, NV,834,5.3,6289,,
Lander, NV,362,5.2,2213,,
Lincoln, NV,742,5.5,1988,,
Lyon, NV,2739,5.6,19808,,
Mineral, NV,590,5.3,2240,,
Nye, NV,4318,5.3,18032,,
Pershing, NV,446,5.1,2018,,
Storey, NV,248,5.6,1742,,
Washoe, NV,21396,5.3,163445,,
White Pine, NV,791,5.2,3707,,
Carson City city, NV,2107,5.2,21427,,
NEW HAMPSHIRE,,95781,5.5,518973,,
Belknap, NH,12620,5.4,24766,,
Carroll, NH,18761,5.3,21052,,
Cheshire, NH,4569,5.5,30204,,
Coos, NH,7150,5.2,14171,,
Grafton, NH,15134,5.2,35986,,
Hillsborough, NH,10587,5.7,155466,,
Merrimack, NH,6472,5.7,57069,,
Rockingham, NH,11676,5.8,115033,,
Strafford, NH,4597,5.3,47100,,
Sullivan, NH,4215,5.3,18126,,
NEW JERSEY,,339202,5.7,3214360,,
Atlantic, NJ,23800,5.5,102847,,
Bergen, NJ,16658,5.8,335730,,
Burlington, NJ,9297,6.4,166318,,
Camden, NJ,13963,6,190980,,
Cape May, NJ,57497,5.3,40812,,
Cumberland, NJ,3903,5.6,51931,,
Essex, NJ,29242,5,283712,,
Gloucester, NJ,5525,6.4,104271,,
Hudson, NJ,23898,4.1,246437,,
Hunterdon, NJ,2318,7,47169,,
Mercer, NJ,10014,5.8,133155,,
Middlesex, NJ,13614,5.6,281186,,
Monmouth, NJ,24427,6.2,233983,,
Morris, NJ,9308,6.6,180534,,
Ocean, NJ,56941,5.7,221111,,
Passaic, NJ,9181,5.2,166785,,
Salem, NJ,2127,5.9,25290,,
Somerset, NJ,5368,6.4,117759,,
Sussex, NJ,7305,6.3,54752,,
Union, NJ,11371,5.6,188118,,
Warren, NJ,3445,6.2,41480,,
NEW MEXICO,,109993,5.2,791395,,
Bernalillo, NM,18234,5.4,266000,,
Catron, NM,1502,4.8,1787,,
Chaves, NM,3006,5.3,23691,,
Cibola, NM,2241,5,8860,,
Colfax, NM,4012,5.1,6011,,
Curry, NM,2047,5.2,18015,,
De Baca, NM,432,5,912,,
Dona Ana, NM,5960,5.1,75532,,
Eddy, NM,2174,5.4,20411,,
Grant, NM,2107,5,12586,,
Guadalupe, NM,627,5.2,1766,,
Harding, NM,177,4.9,349,,
Hidalgo, NM,457,5.2,1936,,
Lea, NM,2683,5.2,22236,,
Lincoln, NM,8300,5.1,9219,,
Los Alamos, NM,691,6,7663,,
Luna, NM,1406,5,9593,,
McKinley, NM,3845,4.9,21968,,
Mora, NM,1118,5,2114,,
Otero, NM,6528,5.1,24464,,
Quay, NM,1497,5.1,4072,,
Rio Arriba, NM,3870,5.2,15768,,
Roosevelt, NM,864,5.1,7299,,
Sandoval, NM,4685,5.7,47602,,
San Juan, NM,4937,5.1,44404,,
San Miguel, NM,3617,4.9,11978,,
Santa Fe, NM,9304,5.2,61963,,
Sierra, NM,2439,4.9,5917,,
Socorro, NM,1045,5.1,7014,,
Taos, NM,5459,4.8,14806,,
Torrance, NM,1534,5.1,6264,,
Union, NM,610,5.6,1695,,
Valencia, NM,2585,5.5,27500,,
NEW YORK,,790348,5,7317755,,
Albany, NY,11488,5.6,126251,,
Allegany, NY,7932,5.6,18208,,
Bronx, NY,28447,3.9,483449,,
Broome, NY,8396,5.8,82167,,
Cattaraugus, NY,8848,5.8,32263,,
Cayuga, NY,5044,5.9,31445,,
Chautauqua, NY,12676,5.7,54244,,
Chemung, NY,2907,5.8,35462,,
Chenango, NY,4274,5.8,20436,,
Clinton, NY,4306,5.5,31582,,
Columbia, NY,6869,5.8,25906,,
Cortland, NY,1906,5.6,18671,,
Delaware, NY,11324,5.5,19898,,
Dutchess, NY,10673,5.8,107965,,
Erie, NY,36810,5.8,383164,,
Essex, NY,9341,5.4,16262,,
Franklin, NY,6252,5.4,19054,,
Fulton, NY,6008,5.6,22554,,
Genesee, NY,1861,6,23728,,
Greene, NY,9387,5.4,19823,,
Hamilton, NY,6432,5,2262,,
Herkimer, NY,7057,5.7,26324,,
Jefferson, NY,14515,5.4,43451,,
Kings, NY,83437,4.1,916856,,
Lewis, NY,4598,5.7,10514,,
Livingston, NY,2714,5.9,24409,,
Madison, NY,4003,6,27754,,
Monroe, NY,20171,5.8,300422,,
Montgomery, NY,2791,5.8,20272,,
Nassau, NY,19818,6.6,448528,,
New York, NY,83244,3.3,763846,,
Niagara, NY,8564,5.7,90556,,
Oneida, NY,11152,5.8,93028,,
Onondaga, NY,14671,5.9,187686,,
Ontario, NY,5174,6,43019,,
Orange, NY,11100,5.9,125925,,
Orleans, NY,2312,5.9,16119,,
Oswego, NY,7198,5.7,46400,,
Otsego, NY,6157,5.8,24620,,
Putnam, NY,3183,6.2,35041,,
Queens, NY,55010,4.4,780117,,
Rensselaer, NY,6773,5.7,64702,,
Richmond, NY,11140,5.7,165516,,
Rockland, NY,4815,6.5,99242,,
St. Lawrence, NY,10528,5.6,41605,,
Saratoga, NY,10360,5.8,88296,,
Schenectady, NY,5310,5.8,62886,,
Schoharie, NY,4065,5.7,13166,,
Schuyler, NY,1925,5.6,7530,,
Seneca, NY,2650,6,13393,,
Steuben, NY,8531,5.8,40344,,
Suffolk, NY,70063,6.4,499922,,
Sullivan, NY,19047,5.2,30139,,
Tioga, NY,1853,6.1,20350,,
Tompkins, NY,2707,5.3,38967,,
Ulster, NY,12589,5.5,71049,,
Warren, NY,10736,5.5,27990,,
Washington, NY,4702,5.8,24142,,
Wayne, NY,4472,6,36585,,
Westchester, NY,23589,5.3,347232,,
Wyoming, NY,2469,6.1,15501,,
Yates, NY,3974,5.6,9517,,
NORTH CAROLINA,,582373,5.4,3745155,,
Alamance, NC,6616,5.2,59960,,
Alexander, NC,1764,5.4,14425,,
Alleghany, NC,3316,5.1,4778,,
Anson, NC,1821,5.3,9755,,
Ashe, NC,5587,5.1,11755,,
Avery, NC,7226,5,6664,,
Beaufort, NC,4747,5.4,19941,,
Bertie, NC,1463,5.3,8359,,
Bladen, NC,3288,5.2,14430,,
Brunswick, NC,31185,5.2,46297,,
Buncombe, NC,12953,5.3,100412,,
Burke, NC,5075,5.1,35804,,
Cabarrus, NC,6271,5.5,65666,,
Caldwell, NC,4271,5.2,33388,,
Camden, NC,429,6.1,3675,,
Carteret, NC,19309,5.2,28870,,
Caswell, NC,1429,5.3,9190,,
Catawba, NC,6999,5.3,60887,,
Chatham, NC,2908,5.6,25845,,
Cherokee, NC,5762,5.2,11753,,
Chowan, NC,1230,5.6,6059,,
Clay, NC,2480,5.3,4660,,
Cleveland, NC,4818,5.2,38555,,
Columbus, NC,3553,5.5,22489,,
Craven, NC,4703,5.5,40299,,
Cumberland, NC,13093,5.5,122431,,
Currituck, NC,5573,6.2,8880,,
Dare, NC,19157,5.5,14335,,
Davidson, NC,8140,5.3,64515,,
Davie, NC,1993,5.7,16245,,
Duplin, NC,3233,5.3,22495,,
Durham, NC,10869,5.2,109348,,
Edgecombe, NC,3158,5.2,21680,,
Forsyth, NC,15709,5.4,141163,,
Franklin, NC,3554,5.5,23023,,
Gaston, NC,8819,5.2,79867,,
Gates, NC,543,6,4665,,
Graham, NC,2229,5.2,3701,,
Granville, NC,2199,5.5,20628,,
Greene, NC,900,5.4,7313,,
Guilford, NC,21389,5.4,196628,,
Halifax, NC,3811,5.3,21970,,
Harnett, NC,5137,5.4,41594,,
Haywood, NC,9391,5.3,25563,,
Henderson, NC,9262,5.4,45448,,
Hertford, NC,1301,5.5,9334,,
Hoke, NC,1679,5.5,16532,,
Hyde, NC,1228,5.4,2119,,
Iredell, NC,7798,5.5,61215,,
Jackson, NC,9502,5.1,16446,,
Johnston, NC,5773,5.5,61909,,
Jones, NC,671,5.3,4167,,
Lee, NC,2078,5.5,22058,,
Lenoir, NC,3110,5.2,24327,,
Lincoln, NC,3298,5.4,30343,,
McDowell, NC,2970,5.2,17838,,
Macon, NC,10654,5.2,14591,,
Madison, NC,2114,5.2,8494,,
Martin, NC,1386,5.4,10318,,
Mecklenburg, NC,36297,5.5,362213,,
Mitchell, NC,2028,5.2,6685,,
Montgomery, NC,5370,4.9,10544,,
Moore, NC,6400,5.7,37540,,
Nash, NC,4504,5.4,37782,,
New Hanover, NC,15390,5.3,86046,,
Northampton, NC,2481,5.5,9193,,
Onslow, NC,8134,5.2,60092,,
Orange, NC,4140,5.3,51457,,
Pamlico, NC,2044,5.5,5490,,
Pasquotank, NC,1877,5.6,14956,,
Pender, NC,6391,5.4,20333,,
Perquimans, NC,1388,5.8,5598,,
Person, NC,2367,5.4,15826,,
Pitt, NC,7413,5.1,67577,,
Polk, NC,2443,5.4,8989,,
Randolph, NC,5668,5.2,55373,,
Richmond, NC,2308,5.2,18430,,
Robeson, NC,4754,5.2,47997,,
Rockingham, NC,5003,5.2,38693,,
Rowan, NC,7071,5.4,53140,,
Rutherford, NC,6412,5.3,27466,,
Sampson, NC,3229,5.3,24005,,
Scotland, NC,1579,5.2,13614,,
Stanly, NC,3521,5.4,23589,,
Stokes, NC,2508,5.3,19416,,
Surry, NC,3753,5.1,29914,,
Swain, NC,3051,5.1,5672,,
Transylvania, NC,4769,5.4,14394,,
Tyrrell, NC,473,5.6,1595,,
Union, NC,5006,6.2,67864,,
Vance, NC,2687,5.2,17395,,
Wake, NC,26191,5.8,345645,,
Warren, NC,3485,5.6,8321,,
Washington, NC,965,5.6,5526,,
Watauga, NC,11734,4.9,20403,,
Wayne, NC,5118,5.4,47831,,
Wilkes, NC,4705,5.1,28360,,
Wilson, NC,3549,5.2,31962,,
Yadkin, NC,1855,5.2,15486,,
Yancey, NC,3388,5.1,7644,,
NORTH DAKOTA,,36306,5.5,281192,,
Adams, ND,279,5.6,1098,,
Barnes, ND,878,5.8,4826,,
Benson, ND,717,5.5,2233,,
Billings, ND,126,5.6,358,,
Bottineau, ND,1509,5.5,2832,,
Bowman, ND,298,5.8,1385,,
Burke, ND,427,5.9,913,,
Burleigh, ND,1778,5.8,33976,,
Cass, ND,4039,5.1,63899,,
Cavalier, ND,491,6.4,1818,,
Dickey, ND,456,5.9,2180,,
Divide, ND,347,5.8,977,,
Dunn, ND,731,5.6,1401,,
Eddy, ND,266,5.9,1057,,
Emmons, ND,491,5.7,1594,,
Foster, ND,306,6.1,1495,,
Golden Valley, ND,193,5.8,774,,
Grand Forks, ND,1927,5,27417,,
Grant, ND,562,5.6,1128,,
Griggs, ND,330,6.1,1131,,
Hettinger, ND,358,6,1056,,
Kidder, ND,615,5.4,1059,,
LaMoure, ND,413,6.3,1825,,
Logan, ND,301,5.8,843,,
McHenry, ND,571,5.7,2377,,
McIntosh, ND,551,5.9,1307,,
McKenzie, ND,680,5.4,2410,,
McLean, ND,1693,5.6,3897,,
Mercer, ND,825,6,3625,,
Morton, ND,790,5.9,11289,,
Mountrail, ND,1326,5.1,2793,,
Nelson, ND,453,5.9,1474,,
Oliver, ND,149,6.6,756,,
Pembina, ND,602,5.9,3257,,
Pierce, ND,364,5.7,1835,,
Ramsey, ND,660,5.4,4955,,
Ransom, ND,346,5.9,2310,,
Renville, ND,325,5.4,1061,,
Richland, ND,852,5.7,6651,,
Rolette, ND,589,5.1,4783,,
Sargent, ND,329,6,1675,,
Sheridan, ND,249,5.8,645,,
Sioux, ND,153,5.1,1158,,
Slope, ND,110,5.8,326,,
Stark, ND,650,6,10085,,
Steele, ND,307,5.9,864,,
Stutsman, ND,931,5.6,8931,,
Towner, ND,401,5.9,1048,,
Traill, ND,386,5.9,3394,,
Walsh, ND,752,5.9,4746,,
Ward, ND,1715,5.6,25029,,
Wells, ND,538,5.9,1943,,
Williams, ND,1171,5.5,9293,,
OHIO,,524073,5.8,4603435,,
Adams, OH,1831,5.4,11147,,
Allen, OH,4380,5.9,40619,,
Ashland, OH,1945,6,20196,,
Ashtabula, OH,6736,5.8,39363,,
Athens, OH,2807,5.2,23578,,
Auglaize, OH,1613,6,17972,,
Belmont, OH,3773,5.7,28679,,
Brown, OH,2287,5.7,17014,,
Butler, OH,12313,5.8,135960,,
Carroll, OH,2313,5.7,11385,,
Champaign, OH,1426,5.9,15329,,
Clark, OH,6175,5.7,55244,,
Clermont, OH,5828,6,74828,,
Clinton, OH,1923,5.6,16210,,
Columbiana, OH,4405,5.7,42683,,
Coshocton, OH,1887,5.7,14658,,
Crawford, OH,2068,5.9,18099,,
Cuyahoga, OH,76707,5.6,545056,,
Darke, OH,1801,5.9,20929,,
Defiance, OH,1461,6,15268,,
Delaware, OH,3618,7,62760,,
Erie, OH,5985,5.9,31860,,
Fairfield, OH,4377,6.2,54310,,
Fayette, OH,1257,5.8,11436,,
Franklin, OH,49951,5.4,477235,,
Fulton, OH,1219,6,16188,,
Gallia, OH,1863,5.6,12062,,
Geauga, OH,2310,7.1,34264,,
Greene, OH,5471,6,62770,,
Guernsey, OH,2983,5.7,16210,,
Hamilton, OH,43419,5.6,333945,,
Hancock, OH,2977,5.9,30197,,
Hardin, OH,1338,5.9,11762,,
Harrison, OH,1644,5.7,6526,,
