Area_name,,Vacant housing units 2010 (complete count),"Housing units - median rooms, 2005-2009",Occupied housing units 2010 (complete count),,
Calhoun, FL,938,5.2,5061,,
Charlotte, FL,27262,5.2,73370,,
Citrus, FL,14722,5.2,63304,,
Clay, FL,6686,6.1,68792,,
Collier, FL,64119,5,133179,,
Columbia, FL,3695,5.3,24941,,
DeSoto, FL,3145,4.6,11445,,
Dixie, FL,3003,5.1,6316,,
Duval, FL,46036,5.5,342450,,
Escambia, FL,20465,5.4,116238,,
Flagler, FL,9409,5.8,39186,,
Franklin, FL,4398,5.2,4254,,
Gadsden, FL,2554,5.6,16952,,
Gilchrist, FL,1186,5.3,6121,,
Glades, FL,2446,4.4,4533,,
Gulf, FL,3775,4.9,5335,,
Hamilton, FL,1161,5.2,4617,,
Hardee, FL,1477,5,8245,,
Hendry, FL,2539,5.1,12025,,
Hernando, FL,12759,5.4,71745,,
Highlands, FL,12782,4.9,42604,,
Hillsborough, FL,62062,5.3,474030,,
Holmes, FL,1287,5.1,7354,,
Indian River, FL,16170,5.3,60176,,
Jackson, FL,3586,5.4,17417,,
Jefferson, FL,986,5.7,5646,,
Lafayette, FL,748,5.8,2580,,
Lake, FL,23707,5.3,121289,,
Lee, FL,111281,5.1,259818,,
Leon, FL,13191,5.2,110945,,
Levy, FL,3719,5.1,16404,,
Liberty, FL,832,4.8,2525,,
Madison, FL,1496,5.4,6985,,
Manatee, FL,36961,4.9,135729,,
Marion, FL,26324,5.3,137726,,
Martin, FL,14232,5.2,63899,,
Miami-Dade, FL,122083,4.6,867352,,
Monroe, FL,20135,4.2,32629,,
Nassau, FL,6215,5.8,28794,,
Okaloosa, FL,20028,5.4,72379,,
Okeechobee, FL,4496,4.9,14013,,
Orange, FL,65992,5.4,421847,,
Osceola, FL,37567,5.4,90603,,
Palm Beach, FL,120367,5,544227,,
Pasco, FL,39316,5.2,189612,,
Pinellas, FL,87758,4.9,415876,,
Polk, FL,53729,5.2,227485,,
Putnam, FL,7928,5.3,29409,,
St. Johns, FL,14492,5.7,75338,,
St. Lucie, FL,28506,5.4,108523,,
Santa Rosa, FL,7850,5.8,56910,,
Sarasota, FL,52667,5.1,175746,,
Seminole, FL,16601,5.7,164706,,
Sumter, FL,11665,4.9,41361,,
Suwannee, FL,3211,5.3,15953,,
Taylor, FL,3084,5.4,7920,,
Union, FL,460,5.4,4048,,
Volusia, FL,45990,5.3,208236,,
Wakulla, FL,2314,5.5,10490,,
Walton, FL,22831,5.1,22301,,
Washington, FL,1932,5.3,8864,,
GEORGIA,,503217,5.7,3585584,,
Appling, GA,1543,5.4,6969,,
Atkinson, GA,539,5,2983,,
Bacon, GA,587,5.3,4214,,
Baker, GA,280,5.2,1372,,
Baldwin, GA,3371,5.2,16788,,
Banks, GA,895,5.4,6700,,
Barrow, GA,2429,5.8,23971,,
Bartow, GA,4041,5.8,35782,,
Ben Hill, GA,1148,5.3,6794,,
Berrien, GA,1266,5.7,7443,,
Bibb, GA,9367,5.4,60295,,
Bleckley, GA,644,5.4,4660,,
Brantley, GA,1201,5.3,6885,,
Brooks, GA,1249,5.4,6457,,
Bryan, GA,1104,6,10738,,
Bulloch, GA,3219,5.4,25575,,
Burke, GA,1332,5.4,8533,,
Butts, GA,1476,5.5,7881,,
Calhoun, GA,407,5.5,2002,,
Camden, GA,3067,5.5,18047,,
Candler, GA,720,5.5,4041,,
Carroll, GA,5420,5.6,39187,,
Catoosa, GA,2131,5.6,24475,,
Charlton, GA,548,5.3,3927,,
Chatham, GA,16285,5.5,103038,,
Chattahoochee, GA,690,5.9,2686,,
Chattooga, GA,1429,4.7,9548,,
Cherokee, GA,6424,6.4,75936,,
Clarke, GA,5654,5,45414,,
Clay, GA,771,4.9,1331,,
Clayton, GA,14072,5.6,90633,,
Clinch, GA,435,5.6,2572,,
Cobb, GA,26434,6.2,260056,,
Coffee, GA,2244,5.3,14817,,
Colquitt, GA,1994,5.4,16317,,
Columbia, GA,3728,6.4,44898,,
Cook, GA,948,5.5,6339,,
Coweta, GA,4498,6.2,45673,,
Crawford, GA,470,5.6,4822,,
Crisp, GA,1655,5.4,9079,,
Dade, GA,1014,5.3,6291,,
Dawson, GA,1992,5.8,8433,,
Decatur, GA,1735,5.4,10390,,
DeKalb, GA,33159,5.7,271809,,
Dodge, GA,1680,5.3,8177,,
Dooly, GA,1042,5.5,5286,,
Dougherty, GA,4293,5.4,36508,,
Douglas, GA,5048,6,46624,,
Early, GA,747,5.4,4228,,
Echols, GA,229,5.2,1329,,
Effingham, GA,1792,5.8,18092,,
Elbert, GA,1520,5.3,8063,,
Emanuel, GA,1538,5.6,8430,,
Evans, GA,631,5.5,4033,,
Fannin, GA,6020,5.3,10187,,
Fayette, GA,2626,7.3,38167,,
Floyd, GA,4621,5.4,35930,,
Forsyth, GA,4619,7.2,59433,,
Franklin, GA,2013,5.4,8540,,
Fulton, GA,60728,5.3,376377,,
Gilmer, GA,5250,4.9,11314,,
Glascock, GA,357,5.5,1162,,
Glynn, GA,8942,5.5,31774,,
Gordon, GA,2563,5.4,19715,,
Grady, GA,1342,5.6,9418,,
Greene, GA,2169,5.8,6519,,
Gwinnett, GA,23028,6.5,268519,,
Habersham, GA,2674,5.4,15472,,
Hall, GA,8134,5.8,60691,,
Hancock, GA,2019,5.4,3341,,
Haralson, GA,1530,5.4,10757,,
Harris, GA,1574,6.2,11823,,
Hart, GA,2886,5.4,10121,,
Heard, GA,748,5.3,4400,,
Henry, GA,6278,6.4,70255,,
Houston, GA,5274,5.7,53051,,
Irwin, GA,538,5.7,3495,,
Jackson, GA,2409,5.8,21343,,
Jasper, GA,1109,5.4,5044,,
Jeff Davis, GA,799,5.2,5689,,
Jefferson, GA,1057,5.4,6241,,
Jenkins, GA,1029,5.7,3192,,
Johnson, GA,773,5.4,3347,,
Jones, GA,1102,6,10586,,
Lamar, GA,856,5.4,6618,,
Lanier, GA,641,5.5,3608,,
Laurens, GA,2727,5.6,18641,,
Lee, GA,570,5.8,9706,,
Liberty, GA,4576,5.2,22155,,
Lincoln, GA,1505,5.4,3281,,
Long, GA,1016,5.1,5023,,
Lowndes, GA,4174,5.6,39747,,
Lumpkin, GA,1936,5.4,10989,,
McDuffie, GA,1030,5.5,8289,,
McIntosh, GA,3249,5.1,5971,,
Macon, GA,1137,5.5,4999,,
Madison, GA,1276,5.4,10508,,
Marion, GA,736,5.4,3420,,
Meriwether, GA,1435,5.4,8522,,
Miller, GA,365,5.4,2426,,
Mitchell, GA,941,5.6,8055,,
Monroe, GA,1048,6.1,9662,,
