Area_name,,"School enrollment - persons 3 years and over enrolled in college, undergraduate years: 2005-2009",School enrollment - persons 3 years and over enrolled in graduate or professional school: 2005-2009
Bent, CO, 125 , 5 
Boulder, CO," 36,176 "," 7,029 "
Broomfield, CO," 2,765 ", 777 
Chaffee, CO, 335 , 80 
Cheyenne, CO, 29 , 3 
Clear Creek, CO, 255 , 92 
Conejos, CO, 295 , 63 
Costilla, CO, 103 , 20 
Crowley, CO, 413 , 6 
Custer, CO, 129 , 24 
Delta, CO, 488 , 214 
Denver, CO," 29,657 "," 11,886 "
Dolores, CO, 40 , 3 
Douglas, CO," 10,933 "," 3,738 "
Eagle, CO," 1,212 ", 219 
Elbert, CO, 797 , 202 
El Paso, CO," 38,102 "," 7,711 "
Fremont, CO," 1,427 ", 113 
Garfield, CO," 1,631 ", 429 
Gilpin, CO, 322 , 35 
Grand, CO, 326 , 89 
Gunnison, CO," 2,287 ", 211 
Hinsdale, CO, 64 , -   
Huerfano, CO, 192 , 39 
Jackson, CO, 19 , 23 
Jefferson, CO," 27,028 "," 6,587 "
Kiowa, CO, 44 , 12 
Kit Carson, CO, 165 , 74 
Lake, CO, 258 , 20 
La Plata, CO," 5,017 ", 318 
Larimer, CO," 32,453 "," 6,364 "
Las Animas, CO, 944 , 65 
Lincoln, CO, 104 , 19 
Logan, CO," 1,183 ", 247 
Mesa, CO," 6,588 ", 934 
Mineral, CO, 4 , 14 
Moffat, CO, 762 , 85 
Montezuma, CO, 587 , 168 
Montrose, CO," 1,036 ", 183 
Morgan, CO, 937 , 115 
Otero, CO, 964 , 152 
Ouray, CO, 82 , 20 
Park, CO, 394 , 166 
Phillips, CO, 84 , 5 
Pitkin, CO, 622 , 137 
Prowers, CO, 662 , 154 
Pueblo, CO," 9,997 "," 1,082 "
Rio Blanco, CO, 253 , 37 
Rio Grande, CO, 413 , 84 
Routt, CO, 989 , 90 
Saguache, CO, 166 , 18 
San Juan, CO, 39 , 26 
San Miguel, CO, 134 , 42 
Sedgwick, CO, 50 , 11 
Summit, CO," 1,157 ", 180 
Teller, CO, 459 , 277 
Washington, CO, 126 , 78 
Weld, CO," 17,087 "," 2,671 "
Yuma, CO, 160 , 49 
CONNECTICUT,," 205,044 "," 52,229 "
Fairfield, CT," 47,622 "," 11,193 "
Hartford, CT," 49,720 "," 12,513 "
Litchfield, CT," 8,293 "," 2,129 "
Middlesex, CT," 9,189 "," 2,753 "
New Haven, CT," 48,852 "," 16,964 "
New London, CT," 14,175 "," 2,734 "
Tolland, CT," 19,994 "," 2,745 "
Windham, CT," 7,199 "," 1,198 "
DELAWARE,," 51,086 "," 11,567 "
Kent, DE," 9,830 "," 1,493 "
New Castle, DE," 34,916 "," 8,851 "
Sussex, DE," 6,340 "," 1,223 "
DISTRICT OF COLUMBIA,," 42,220 "," 19,498 "
District of Columbia,," 42,220 "," 19,498 "
FLORIDA,," 964,446 "," 178,615 "
Alachua, FL," 48,100 "," 11,268 "
Baker, FL, 656 , 100 
Bay, FL," 7,459 ", 983 
Bradford, FL," 1,334 ", 178 
Brevard, FL," 29,259 "," 5,186 "
Broward, FL," 93,139 "," 22,575 "
Calhoun, FL, 386 , 78 
Charlotte, FL," 3,808 ", 621 
Citrus, FL," 3,459 ", 527 
Clay, FL," 9,391 "," 1,228 "
Collier, FL," 10,057 "," 1,651 "
Columbia, FL," 2,313 ", 384 
DeSoto, FL, 750 , 94 
Dixie, FL, 418 , 89 
Duval, FL," 48,581 "," 8,635 "
Escambia, FL," 20,098 "," 2,403 "
Flagler, FL," 2,970 ", 423 
Franklin, FL, 229 , 43 
Gadsden, FL," 1,615 ", 209 
Gilchrist, FL, 457 , 49 
Glades, FL, 181 , 15 
Gulf, FL, 456 , -   
Hamilton, FL, 204 , 102 
Hardee, FL, 580 , 105 
Hendry, FL," 1,105 ", 114 
Hernando, FL," 6,120 ", 632 
Highlands, FL," 2,413 ", 417 
Hillsborough, FL," 67,912 "," 13,263 "
Holmes, FL, 510 , 102 
Indian River, FL," 3,974 ", 541 
Jackson, FL," 2,262 ", 208 
Jefferson, FL, 592 , 43 
Lafayette, FL, 304 , 24 
Lake, FL," 8,492 "," 1,609 "
Lee, FL," 18,739 "," 3,965 "
Leon, FL," 50,972 "," 8,003 "
Levy, FL," 1,342 ", 119 
Liberty, FL, 404 , 43 
Madison, FL, 548 , 65 
Manatee, FL," 10,226 "," 1,980 "
Marion, FL," 10,634 "," 1,617 "
Martin, FL," 4,858 ", 836 
Miami-Dade, FL," 155,672 "," 28,790 "
Monroe, FL," 2,463 ", 626 
Nassau, FL," 2,722 ", 341 
Okaloosa, FL," 10,298 "," 2,224 "
Okeechobee, FL," 1,158 ", 103 
Orange, FL," 69,692 "," 13,675 "
Osceola, FL," 10,614 "," 1,419 "
Palm Beach, FL," 54,732 "," 11,005 "
Pasco, FL," 16,313 "," 2,436 "
Pinellas, FL," 40,308 "," 7,697 "
Polk, FL," 20,473 "," 3,459 "
Putnam, FL," 1,643 ", 296 
St. Johns, FL," 8,398 "," 1,875 "
St. Lucie, FL," 10,106 "," 1,290 "
Santa Rosa, FL," 7,342 "," 1,128 "
Sarasota, FL," 11,710 "," 2,193 "
Seminole, FL," 26,168 "," 4,770 "
Sumter, FL," 1,330 ", 150 
Suwannee, FL," 1,128 ", 109 
Taylor, FL, 897 , 95 
Union, FL, 529 , 58 
Volusia, FL," 29,667 "," 3,708 "
Wakulla, FL," 1,321 ", 177 
Walton, FL," 1,622 ", 305 
Washington, FL, 833 , 159 
GEORGIA,," 520,941 "," 113,381 "
Appling, GA, 721 , 143 
Atkinson, GA, 129 , 11 
Bacon, GA, 161 , 13 
Baker, GA, 172 , -   
Baldwin, GA," 6,276 ", 240 
Banks, GA, 422 , 161 
Barrow, GA," 2,087 ", 323 
Bartow, GA," 2,616 ", 609 
Ben Hill, GA, 631 , 89 
Berrien, GA, 584 , 86 
Bibb, GA," 10,250 "," 2,089 "
Bleckley, GA," 1,145 ", 72 
Brantley, GA, 572 , 47 
Brooks, GA, 724 , 100 
Bryan, GA," 1,456 ", 445 
Bulloch, GA," 15,989 "," 1,288 "
Burke, GA," 1,054 ", 112 
Butts, GA, 716 , 87 
Calhoun, GA, 185 , 11 
Camden, GA," 2,526 ", 423 
Candler, GA, 288 , 66 
Carroll, GA," 7,247 "," 1,155 "
Catoosa, GA," 2,592 ", 327 
Charlton, GA, 225 , 19 
Chatham, GA," 18,296 "," 3,232 "
Chattahoochee, GA," 1,593 ", 300 
Chattooga, GA, 984 , 77 
Cherokee, GA," 8,601 "," 2,059 "
Clarke, GA," 28,935 "," 5,843 "
Clay, GA, 19 , -   
Clayton, GA," 12,942 "," 3,099 "
Clinch, GA, 92 , 53 
Cobb, GA," 38,973 "," 10,592 "
Coffee, GA," 1,715 ", 247 
Colquitt, GA," 1,658 ", 102 
Columbia, GA," 5,457 "," 1,499 "
Cook, GA, 815 , 23 
Coweta, GA," 3,879 "," 1,129 "
Crawford, GA, 544 , 43 
Crisp, GA, 722 , 78 
Dade, GA," 1,296 ", 99 
Dawson, GA, 821 , 118 
Decatur, GA," 1,572 ", 162 
DeKalb, GA," 41,051 "," 14,441 "
Dodge, GA, 803 , 82 
Dooly, GA, 254 , 30 
Dougherty, GA," 8,052 ", 941 
Douglas, GA," 4,878 "," 1,508 "
Early, GA, 495 , 24 
Echols, GA, 184 , 7 
Effingham, GA," 1,843 ", 443 
Elbert, GA, 520 , 156 
Emanuel, GA, 759 , 62 
Evans, GA, 463 , 36 
Fannin, GA, 593 , 119 
Fayette, GA," 4,960 "," 1,305 "
Floyd, GA," 6,438 ", 593 
Forsyth, GA," 5,338 "," 1,333 "
Franklin, GA, 894 , 84 
Fulton, GA," 57,794 "," 19,031 "
Gilmer, GA, 671 , 119 
Glascock, GA, 73 , 16 
Glynn, GA," 3,016 ", 543 
Gordon, GA," 1,681 ", 192 
Grady, GA, 987 , 163 
Greene, GA, 436 , 95 
Gwinnett, GA," 35,208 "," 9,641 "
Habersham, GA," 3,453 ", 356 
Hall, GA," 6,643 ", 973 
Hancock, GA, 333 , 38 
Haralson, GA, 836 , 148 
Harris, GA," 1,138 ", 275 
Hart, GA, 566 , 185 
Heard, GA, 343 , 102 
Henry, GA," 8,262 "," 2,203 "
Houston, GA," 8,046 "," 1,767 "
Irwin, GA, 169 , 56 
Jackson, GA," 1,723 ", 457 
Jasper, GA, 324 , 33 
Jeff Davis, GA, 241 , 145 
Jefferson, GA, 541 , 138 
Jenkins, GA, 355 , 39 
Johnson, GA, 343 , 80 
Jones, GA," 1,400 ", 115 
Lamar, GA," 1,190 ", 96 
Lanier, GA, 305 , 30 
Laurens, GA," 2,061 ", 281 
Lee, GA," 2,278 ", 182 
Liberty, GA," 4,347 ", 572 
Lincoln, GA, 307 , 25 
Long, GA, 630 , 39 
Lowndes, GA," 12,767 "," 1,506 "
Lumpkin, GA," 3,452 ", 143 
McDuffie, GA, 894 , 85 
McIntosh, GA, 480 , 49 
Macon, GA, 479 , 46 
Madison, GA, 888 , 158 
Marion, GA, 151 , 66 
Meriwether, GA, 899 , 188 
Miller, GA, 281 , 16 
Mitchell, GA, 850 , 44 
Monroe, GA, 865 , 174 
Montgomery, GA, 927 , 152 
Morgan, GA, 675 , 121 
Murray, GA," 1,021 ", 97 
Muscogee, GA," 12,812 "," 1,774 "
Newton, GA," 4,216 ", 680 
Oconee, GA," 1,438 ", 721 
Oglethorpe, GA, 433 , 23 
Paulding, GA," 4,357 "," 1,237 "
Peach, GA," 3,832 ", 203 
Pickens, GA, 945 , 109 
Pierce, GA, 477 , 47 
Pike, GA, 622 , 60 
Polk, GA," 1,216 ", 324 
Pulaski, GA, 423 , 58 
Putnam, GA, 999 , 64 
Quitman, GA, -   , -   
Rabun, GA, 538 , 67 
Randolph, GA, 496 , 86 
Richmond, GA," 11,853 "," 3,415 "
Rockdale, GA," 4,192 ", 890 
Schley, GA, 154 , 4 
Screven, GA, 648 , 94 
Seminole, GA, 383 , 39 
Spalding, GA," 2,966 ", 432 
Stephens, GA," 1,745 ", 118 
Stewart, GA, 251 , 2 
Sumter, GA," 1,678 ", 494 
Talbot, GA, 252 , -   
Taliaferro, GA, 52 , 18 
Tattnall, GA, 902 , 188 
Taylor, GA, 329 , 60 
Telfair, GA, 317 , 24 
Terrell, GA, 406 , 27 
Thomas, GA," 1,464 ", 232 
Tift, GA," 2,739 ", 194 
Toombs, GA, 948 , 133 
Towns, GA, 913 , 11 
Treutlen, GA, 178 , -   
Troup, GA," 3,004 ", 482 
Turner, GA, 253 , 68 
Twiggs, GA, 320 , 91 
Union, GA, 732 , 135 
Upson, GA," 1,146 ", 53 
Walker, GA," 2,141 ", 161 
Walton, GA," 2,284 ", 467 
Ware, GA," 1,342 ", 170 
Warren, GA, 146 , -   
Washington, GA, 432 , 35 
Wayne, GA," 1,309 ", 100 
Webster, GA, 71 , 13 
Wheeler, GA, 264 , 14 
White, GA," 1,129 ", 95 
Whitfield, GA," 3,808 ", 572 
Wilcox, GA, 169 , 37 
Wilkes, GA, 399 , 83 
Wilkinson, GA, 322 , 80 
Worth, GA, 960 , 82 
HAWAII,," 73,565 "," 15,711 "
Hawaii, HI," 8,750 "," 1,093 "
Honolulu, HI," 57,590 "," 13,273 "
Kalawao, HI, 6 , -   
Kauai, HI," 2,347 ", 256 
Maui, HI," 4,872 "," 1,089 "
IDAHO,," 86,815 "," 13,676 "
Ada, ID," 21,342 "," 5,073 "
Adams, ID, 90 , 8 
Bannock, ID," 7,206 "," 1,242 "
Bear Lake, ID, 101 , 1 
Benewah, ID, 155 , 44 
Bingham, ID," 1,900 ", 310 
Blaine, ID, 771 , 87 
Boise, ID, 264 , 31 
Bonner, ID, 913 , 197 
Bonneville, ID," 3,436 ", 885 
Boundary, ID, 63 , 71 
Butte, ID, 55 , 10 
Camas, ID, 18 , 5 
Canyon, ID," 7,064 "," 1,291 "
Caribou, ID, 104 , 42 
Cassia, ID, 658 , 106 
Clark, ID, 3 , -   
Clearwater, ID, 119 , 32 
Custer, ID, 25 , 63 
Elmore, ID," 2,163 ", 279 
Franklin, ID, 447 , 21 
Fremont, ID, 419 , 100 
Gem, ID, 654 , 43 
Gooding, ID, 316 , 44 
Idaho, ID, 130 , 21 
Jefferson, ID, 833 , 112 
Jerome, ID, 659 , 69 
Kootenai, ID," 5,671 ", 548 
Latah, ID," 9,705 "," 1,341 "
Lemhi, ID, 198 , 3 
Lewis, ID, 62 , 9 
Lincoln, ID, 83 , 13 
Madison, ID," 13,002 ", 292 
Minidoka, ID, 626 , 97 
Nez Perce, ID," 2,466 ", 300 
Oneida, ID, 153 , -   
Owyhee, ID, 221 , 39 
Payette, ID, 585 , 119 
Power, ID, 147 , 61 
Shoshone, ID, 253 , 81 
Teton, ID, 104 , 43 
Twin Falls, ID," 3,312 ", 324 
Valley, ID, 196 , 77 
Washington, ID, 123 , 142 
ILLINOIS,," 770,625 "," 194,617 "
Adams, IL," 3,694 ", 599 
Alexander, IL, 448 , 18 
Bond, IL," 1,397 ", 273 
Boone, IL," 1,967 ", 418 
Brown, IL, 236 , 2 
Bureau, IL," 1,151 ", 210 
Calhoun, IL, 169 , 19 
Carroll, IL, 527 , 114 
Cass, IL, 393 , 101 
Champaign, IL," 41,629 "," 10,060 "
Christian, IL," 1,115 ", 206 
Clark, IL, 744 , 59 
Clay, IL, 541 , 44 
Clinton, IL," 1,653 ", 291 
Coles, IL," 12,450 ", 669 
Cook, IL," 293,898 "," 98,080 "
Crawford, IL, 845 , 103 
Cumberland, IL, 506 , 31 
DeKalb, IL," 20,843 "," 2,848 "
De Witt, IL, 553 , 168 
Douglas, IL, 683 , 85 
DuPage, IL," 56,719 "," 16,708 "
Edgar, IL, 523 , 191 
Edwards, IL, 217 , 25 
Effingham, IL," 1,575 ", 362 
Fayette, IL, 913 , 124 
Ford, IL, 402 , 146 
Franklin, IL," 1,532 ", 218 
Fulton, IL," 1,484 ", 250 
Gallatin, IL, 133 , 7 
Greene, IL, 471 , 33 
Grundy, IL," 2,136 ", 270 
Hamilton, IL, 261 , 6 
Hancock, IL, 770 , 162 
Hardin, IL, 101 , -   
Henderson, IL, 242 , 20 
Henry, IL," 1,850 ", 308 
Iroquois, IL, 853 , 170 
Jackson, IL," 14,068 "," 3,095 "
Jasper, IL, 408 , 25 
Jefferson, IL," 1,468 ", 164 
Jersey, IL," 1,246 ", 64 
Jo Daviess, IL, 469 , 167 
Johnson, IL, 576 , 28 
Kane, IL," 22,245 "," 5,736 "
Kankakee, IL," 7,092 ", 786 
Kendall, IL," 4,595 "," 1,300 "
Knox, IL," 3,522 ", 294 
Lake, IL," 35,572 "," 9,256 "
LaSalle, IL," 4,354 ", 791 
Lawrence, IL, 791 , 74 
Lee, IL," 1,776 ", 306 
Livingston, IL," 1,233 ", 167 
Logan, IL," 3,480 ", 279 
McDonough, IL," 10,019 "," 1,072 "
McHenry, IL," 14,640 "," 3,348 "
McLean, IL," 25,776 "," 2,435 "
Macon, IL," 5,488 ", 760 
Macoupin, IL," 2,487 ", 256 
Madison, IL," 18,694 "," 2,949 "
Marion, IL," 1,637 ", 294 
Marshall, IL, 462 , 33 
Mason, IL, 438 , 159 
Massac, IL, 475 , 35 
Menard, IL, 475 , 76 
Mercer, IL, 498 , 133 
Monroe, IL," 1,405 ", 451 
Montgomery, IL," 1,512 ", 95 
Morgan, IL," 2,745 ", 400 
Moultrie, IL, 438 , 84 
Ogle, IL," 2,364 ", 448 
Peoria, IL," 12,596 "," 2,033 "
Perry, IL," 1,108 ", 69 
Piatt, IL, 644 , 131 
Pike, IL, 572 , 57 
Pope, IL, 110 , 12 
Pulaski, IL, 181 , 28 
Putnam, IL, 240 , 2 
Randolph, IL, 944 , 207 
Richland, IL, 479 , 42 
Rock Island, IL," 8,905 "," 1,170 "
St. Clair, IL," 15,936 "," 3,002 "
Saline, IL," 1,204 ", 133 
Sangamon, IL," 9,060 "," 3,141 "
Schuyler, IL, 229 , 96 
Scott, IL, 117 , 44 
Shelby, IL, 687 , 74 
Stark, IL, 198 , 23 
Stephenson, IL," 2,040 ", 135 
Tazewell, IL," 5,273 "," 1,149 "
Union, IL, 873 , 111 
Vermilion, IL," 2,577 ", 315 
Wabash, IL, 646 , 58 
Warren, IL," 2,038 ", 81 
Washington, IL, 597 , 104 
Wayne, IL, 713 , 66 
White, IL, 417 , 46 
Whiteside, IL," 2,182 ", 519 
Will, IL," 32,921 "," 7,978 "
Williamson, IL," 3,495 ", 770 
Winnebago, IL," 13,321 "," 3,773 "
Woodford, IL," 2,250 ", 290 
INDIANA,," 368,563 "," 63,635 "
Adams, IN," 1,144 ", 141 
Allen, IN," 19,364 "," 2,881 "
Bartholomew, IN," 2,594 ", 732 
Benton, IN, 365 , 45 
Blackford, IN, 484 , 39 
Boone, IN," 2,093 ", 401 
Brown, IN, 366 , 53 
Carroll, IN, 558 , 99 
Cass, IN," 1,066 ", 145 
Clark, IN," 4,226 "," 1,063 "
Clay, IN," 1,092 ", 156 
Clinton, IN, 997 , 57 
Crawford, IN, 202 , -   
Daviess, IN, 781 , 58 
Dearborn, IN," 1,962 ", 341 
Decatur, IN, 918 , 196 
DeKalb, IN," 1,912 ", 163 
Delaware, IN," 17,672 "," 1,663 "
Dubois, IN," 1,288 ", 136 
Elkhart, IN," 6,548 "," 1,254 "
Fayette, IN," 1,114 ", 75 
Floyd, IN," 3,226 ", 615 
Fountain, IN, 446 , 64 
Franklin, IN, 929 , 101 
Fulton, IN, 414 , 135 
Gibson, IN," 1,571 ", 247 
