Area_name,,"School enrollment - persons 3 years and over enrolled in college, undergraduate years: 2005-2009",School enrollment - persons 3 years and over enrolled in graduate or professional school: 2005-2009
Andrew, MO, 597 , 167 
Atchison, MO, 115 , 47 
Audrain, MO, 900 , 134 
Barry, MO, 865 , 182 
Barton, MO, 245 , 1 
Bates, MO, 563 , 43 
Benton, MO, 359 , 70 
Bollinger, MO, 284 , 26 
Boone, MO," 23,580 "," 6,288 "
Buchanan, MO," 4,786 ", 568 
Butler, MO," 1,551 ", 195 
Caldwell, MO, 176 , 48 
Callaway, MO," 2,345 ", 340 
Camden, MO," 1,388 ", 274 
Cape Girardeau, MO," 7,602 ", 704 
Carroll, MO, 204 , 92 
Carter, MO, 210 , 25 
Cass, MO," 3,809 ", 937 
Cedar, MO, 614 , 60 
Chariton, MO, 323 , 24 
Christian, MO," 3,240 ", 655 
Clark, MO, 231 , 43 
Clay, MO," 9,429 "," 2,783 "
Clinton, MO, 612 , 81 
Cole, MO," 4,715 ", 926 
Cooper, MO, 672 , 54 
Crawford, MO, 776 , 35 
Dade, MO, 153 , 13 
Dallas, MO, 262 , 55 
Daviess, MO, 283 , 39 
DeKalb, MO, 436 , 48 
Dent, MO, 280 , 25 
Douglas, MO, 868 , 4 
Dunklin, MO, 660 , 181 
Franklin, MO," 3,899 ", 515 
Gasconade, MO, 563 , 38 
Gentry, MO, 112 , 15 
Greene, MO," 26,589 "," 3,686 "
Grundy, MO, 269 , 63 
Harrison, MO, 271 , 21 
Henry, MO, 461 , 159 
Hickory, MO, 187 , 30 
Holt, MO, 118 , 13 
Howard, MO, 765 , 72 
Howell, MO," 1,213 ", 229 
Iron, MO, 205 , 56 
Jackson, MO," 32,332 "," 9,578 "
Jasper, MO," 5,280 ", 632 
Jefferson, MO," 9,953 "," 1,715 "
Johnson, MO," 8,469 ", 974 
Knox, MO, 101 , 4 
Laclede, MO," 1,276 ", 119 
Lafayette, MO, 893 , 264 
Lawrence, MO, 945 , 82 
Lewis, MO, 987 , 28 
Lincoln, MO," 1,691 ", 276 
Linn, MO, 212 , 103 
Livingston, MO, 445 , 117 
McDonald, MO, 774 , 43 
Macon, MO, 279 , 65 
Madison, MO, 300 , 43 
Maries, MO, 200 , 125 
Marion, MO," 1,081 ", 191 
Mercer, MO, 129 , 44 
Miller, MO, 567 , 120 
Mississippi, MO, 221 , 46 
Moniteau, MO, 401 , 77 
Monroe, MO, 258 , 29 
Montgomery, MO, 256 , 61 
Morgan, MO, 446 , 29 
New Madrid, MO, 450 , 99 
Newton, MO," 2,522 ", 358 
Nodaway, MO," 4,544 ", 197 
Oregon, MO, 375 , 37 
Osage, MO, 477 , 70 
Ozark, MO, 141 , 40 
Pemiscot, MO, 490 , 110 
Perry, MO, 525 , 89 
Pettis, MO," 1,988 ", 168 
Phelps, MO," 5,368 ", 663 
Pike, MO, 606 , 68 
Platte, MO," 4,483 "," 1,552 "
Polk, MO," 2,634 ", 320 
Pulaski, MO," 3,174 ", 507 
Putnam, MO, 147 , 45 
Ralls, MO, 366 , 34 
Randolph, MO, 909 , 150 
Ray, MO, 771 , 135 
Reynolds, MO, 158 , 9 
Ripley, MO, 327 , 186 
St. Charles, MO," 17,121 "," 4,784 "
St. Clair, MO, 135 , 27 
Ste. Genevieve, MO, 669 , 112 
St. Francois, MO," 2,140 ", 533 
St. Louis, MO," 54,923 "," 16,898 "
Saline, MO," 1,788 ", 124 
Schuyler, MO, 82 , 16 
Scotland, MO, 67 , 20 
Scott, MO," 1,274 ", 193 
Shannon, MO, 215 , 40 
Shelby, MO, 118 , 26 
Stoddard, MO, 566 , 108 
Stone, MO, 496 , 114 
Sullivan, MO, 145 , 9 
Taney, MO," 2,142 ", 239 
Texas, MO, 678 , 120 
Vernon, MO, 640 , 77 
Warren, MO, 753 , 275 
Washington, MO, 593 , 160 
Wayne, MO, 354 , 40 
Webster, MO," 1,057 ", 159 
Worth, MO, 57 , 20 
Wright, MO, 359 , 94 
St. Louis city, MO," 21,388 "," 7,735 "
MONTANA,," 54,399 "," 9,216 "
Beaverhead, MT, 869 , 102 
Big Horn, MT, 469 , 45 
Blaine, MT, 259 , 42 
Broadwater, MT, 109 , -   
Carbon, MT, 178 , 42 
Carter, MT, 9 , 3 
Cascade, MT," 3,794 "," 1,135 "
Chouteau, MT, 129 , 17 
Custer, MT, 456 , 90 
Daniels, MT, 22 , 10 
Dawson, MT, 498 , 68 
Deer Lodge, MT, 181 , 49 
Fallon, MT, 54 , 14 
Fergus, MT, 401 , 84 
Flathead, MT," 2,398 ", 472 
Gallatin, MT," 12,210 "," 1,895 "
Garfield, MT, 25 , -   
Glacier, MT, 615 , 95 
Golden Valley, MT, 11 , 6 
Granite, MT, 48 , 59 
Hill, MT, 998 , 104 
Jefferson, MT, 325 , 35 
Judith Basin, MT, 14 , 7 
Lake, MT," 1,003 ", 75 
Lewis and Clark, MT," 2,842 ", 288 
Liberty, MT, 11 , 9 
Lincoln, MT, 354 , 67 
McCone, MT, 28 , 10 
Madison, MT, 108 , 36 
Meagher, MT, 77 , 8 
Mineral, MT, 50 , 3 
Missoula, MT," 13,376 "," 2,218 "
Musselshell, MT, 84 , 25 
Park, MT, 520 , 287 
Petroleum, MT, 5 , 12 
Phillips, MT, 22 , 7 
Pondera, MT, 146 , 52 
Powder River, MT, 63 , 7 
Powell, MT, 267 , 41 
Prairie, MT, 9 , 3 
Ravalli, MT," 1,205 ", 133 
Richland, MT, 84 , 76 
Roosevelt, MT, 337 , 93 
Rosebud, MT, 330 , 39 
Sanders, MT, 132 , 47 
Sheridan, MT, 39 , 16 
Silver Bow, MT," 1,960 ", 149 
Stillwater, MT, 161 , 33 
Sweet Grass, MT, 31 , 19 
Teton, MT, 127 , 47 
Toole, MT, 213 , 11 
Treasure, MT, 14 , 7 
Valley, MT, 148 , 37 
Wheatland, MT, -   , 17 
Wibaux, MT, 18 , 5 
Yellowstone, MT," 6,563 ", 965 
Yellowstone National Park, MT, -   , -   
NEBRASKA,," 113,798 "," 23,867 "
Adams, NE," 2,184 ", 360 
Antelope, NE, 160 , 24 
Arthur, NE, 6 , -   
Banner, NE, 56 , 6 
Blaine, NE, 9 , 12 
Boone, NE, 40 , 8 
Box Butte, NE, 150 , 84 
Boyd, NE, 53 , 11 
Brown, NE, 100 , 5 
Buffalo, NE," 5,305 ", 611 
Burt, NE, 134 , 52 
Butler, NE, 260 , 41 
Cass, NE, 867 , 234 
Cedar, NE, 296 , 82 
Chase, NE, 87 , 2 
Cherry, NE, 84 , 95 
Cheyenne, NE, 284 , 108 
Clay, NE, 172 , 26 
Colfax, NE, 237 , 35 
Cuming, NE, 244 , 68 
Custer, NE, 134 , 68 
Dakota, NE, 616 , 109 
Dawes, NE," 1,474 ", 75 
Dawson, NE, 441 , 111 
Deuel, NE, 31 , 8 
Dixon, NE, 154 , 38 
Dodge, NE," 1,811 ", 206 
Douglas, NE," 31,429 "," 9,771 "
Dundy, NE, 25 , 70 
Fillmore, NE, 73 , 59 
Franklin, NE, 82 , 11 
Frontier, NE, 90 , 27 
Furnas, NE, 113 , 12 
Gage, NE," 1,123 ", 163 
Garden, NE, 41 , 12 
Garfield, NE, 20 , 2 
Gosper, NE, 49 , 4 
Grant, NE, 9 , 8 
Greeley, NE, 21 , 6 
Hall, NE," 1,573 ", 344 
Hamilton, NE, 276 , 67 
Harlan, NE, 50 , 24 
Hayes, NE, 12 , 15 
Hitchcock, NE, 49 , 7 
Holt, NE, 148 , 27 
Hooker, NE, 12 , 5 
Howard, NE, 210 , 46 
Jefferson, NE, 257 , 9 
Johnson, NE, 77 , 5 
Kearney, NE, 215 , 34 
Keith, NE, 117 , 77 
Keya Paha, NE, 8 , -   
Kimball, NE, 78 , 50 
Knox, NE, 192 , 89 
Lancaster, NE," 34,397 "," 5,596 "
Lincoln, NE," 1,165 ", 146 
Logan, NE, 1 , 13 
Loup, NE, 28 , -   
McPherson, NE, 9 , 2 
Madison, NE," 2,258 ", 195 
Merrick, NE, 144 , 63 
Morrill, NE, 121 , 96 
Nance, NE, 47 , 13 
Nemaha, NE, 597 , 44 
Nuckolls, NE, 106 , 13 
Otoe, NE, 492 , 76 
Pawnee, NE, 57 , 12 
Perkins, NE, 54 , 8 
Phelps, NE, 266 , 52 
Pierce, NE, 212 , 29 
Platte, NE," 1,443 ", 127 
Polk, NE, 195 , 37 
Red Willow, NE, 372 , 29 
Richardson, NE, 191 , 72 
Rock, NE, 12 , 7 
Saline, NE," 1,190 ", 73 
Sarpy, NE," 9,687 "," 2,471 "
Saunders, NE, 612 , 199 
Scotts Bluff, NE," 1,330 ", 245 
Seward, NE," 2,045 ", 133 
Sheridan, NE, 65 , 43 
Sherman, NE, 15 , 26 
Sioux, NE, 44 , 12 
Stanton, NE, 251 , 40 
Thayer, NE, 32 , 18 
Thomas, NE, 5 , 3 
Thurston, NE, 280 , 32 
Valley, NE, 120 , 36 
Washington, NE," 1,300 ", 206 
Wayne, NE," 2,141 ", 187 
Webster, NE, 38 , 12 
Wheeler, NE, 1 , 6 
York, NE, 737 , 72 
NEVADA,," 109,615 "," 25,271 "
Churchill, NV, 997 , 152 
Clark, NV," 74,729 "," 18,070 "
Douglas, NV," 1,678 ", 366 
Elko, NV," 1,753 ", 246 
Esmeralda, NV, 7 , 10 
Eureka, NV, 22 , 3 
Humboldt, NV, 344 , 178 
Lander, NV, 53 , 18 
Lincoln, NV, 33 , 19 
Lyon, NV," 2,197 ", 195 
Mineral, NV, 76 , 8 
Nye, NV, 736 , 292 
Pershing, NV, 127 , 52 
Storey, NV, 127 , 80 
Washoe, NV," 23,732 "," 5,212 "
White Pine, NV, 343 , 35 
Carson City city, NV," 2,661 ", 335 
NEW HAMPSHIRE,," 75,772 "," 15,710 "
Belknap, NH," 2,107 ", 576 
Carroll, NH," 1,398 ", 438 
Cheshire, NH," 7,333 ", 743 
Coos, NH, 994 , 146 
Grafton, NH," 9,033 "," 1,371 "
Hillsborough, NH," 19,295 "," 4,928 "
Merrimack, NH," 8,472 "," 1,841 "
Rockingham, NH," 11,948 "," 3,343 "
Strafford, NH," 13,816 "," 1,892 "
Sullivan, NH," 1,376 ", 432 
NEW JERSEY,," 440,395 "," 110,806 "
Atlantic, NJ," 18,257 "," 2,136 "
Bergen, NJ," 42,829 "," 12,762 "
Burlington, NJ," 22,376 "," 5,881 "
Camden, NJ," 25,542 "," 6,205 "
Cape May, NJ," 2,818 ", 885 
Cumberland, NJ," 6,175 "," 1,031 "
Essex, NJ," 41,134 "," 9,912 "
Gloucester, NJ," 17,173 "," 3,391 "
Hudson, NJ," 27,908 "," 9,962 "
Hunterdon, NJ," 5,450 "," 1,574 "
Mercer, NJ," 25,613 "," 6,983 "
Middlesex, NJ," 47,766 "," 12,246 "
Monmouth, NJ," 31,755 "," 7,109 "
Morris, NJ," 24,249 "," 6,804 "
Ocean, NJ," 23,074 "," 5,678 "
Passaic, NJ," 24,304 "," 4,970 "
Salem, NJ," 3,137 ", 742 
Somerset, NJ," 13,860 "," 4,299 "
Sussex, NJ," 7,199 "," 1,585 "
Union, NJ," 24,682 "," 5,631 "
Warren, NJ," 5,094 "," 1,020 "
NEW MEXICO,," 121,781 "," 23,205 "
Bernalillo, NM," 46,763 "," 10,574 "
Catron, NM, 69 , 18 
Chaves, NM," 3,301 ", 381 
Cibola, NM, 874 , 69 
Colfax, NM, 244 , 113 
Curry, NM," 2,776 ", 364 
De Baca, NM, 40 , -   
Dona Ana, NM," 18,787 "," 3,580 "
Eddy, NM," 2,068 ", 251 
Grant, NM," 2,042 ", 390 
Guadalupe, NM, 222 , 7 
Harding, NM, 13 , 9 
Hidalgo, NM, 219 , 79 
Lea, NM," 2,553 ", 334 
Lincoln, NM, 950 , 79 
Los Alamos, NM, 735 , 217 
Luna, NM, 720 , 34 
McKinley, NM," 3,242 ", 348 
Mora, NM, 320 , 41 
Otero, NM," 4,138 ", 390 
Quay, NM, 281 , 57 
Rio Arriba, NM," 1,542 ", 254 
Roosevelt, NM," 2,330 ", 249 
Sandoval, NM," 5,434 "," 1,203 "
San Juan, NM," 4,607 ", 701 
San Miguel, NM," 2,764 ", 562 
Santa Fe, NM," 7,328 "," 2,065 "
Sierra, NM, 138 , 66 
Socorro, NM," 1,468 ", 358 
Taos, NM," 1,021 ", 114 
Torrance, NM, 702 , 42 
Union, NM, 47 , 8 
Valencia, NM," 4,043 ", 248 
NEW YORK,," 1,155,918 "," 301,065 "
Albany, NY," 27,838 "," 6,997 "
Allegany, NY," 5,740 ", 480 
Bronx, NY," 79,157 "," 13,757 "
Broome, NY," 16,481 "," 3,345 "
Cattaraugus, NY," 4,512 ", 586 
Cayuga, NY," 3,728 ", 444 
Chautauqua, NY," 7,753 "," 1,202 "
Chemung, NY," 4,926 ", 744 
Chenango, NY," 1,738 ", 227 
Clinton, NY," 6,923 ", 752 
Columbia, NY," 3,366 ", 712 
Cortland, NY," 6,325 ", 435 
Delaware, NY," 2,015 ", 172 
Dutchess, NY," 22,400 "," 3,133 "
Erie, NY," 57,550 "," 14,372 "
Essex, NY," 1,708 ", 186 
Franklin, NY," 1,789 ", 162 
Fulton, NY," 1,610 ", 248 
Genesee, NY," 2,332 ", 328 
Greene, NY," 1,447 ", 253 
Hamilton, NY, 54 , 34 
Herkimer, NY," 2,913 ", 388 
Jefferson, NY," 5,804 ", 784 
Kings, NY," 142,032 "," 41,672 "
Lewis, NY, 671 , 152 
Livingston, NY," 7,757 ", 564 
Madison, NY," 7,017 ", 377 
Monroe, NY," 54,226 "," 12,283 "
Montgomery, NY," 1,902 ", 315 
Nassau, NY," 79,363 "," 21,614 "
New York, NY," 88,170 "," 51,285 "
Niagara, NY," 11,198 "," 1,946 "
Oneida, NY," 12,798 "," 2,079 "
Onondaga, NY," 30,458 "," 8,388 "
Ontario, NY," 6,118 "," 1,145 "
Orange, NY," 23,784 "," 3,539 "
Orleans, NY," 1,702 ", 197 
Oswego, NY," 9,994 ", 894 
Otsego, NY," 7,070 ", 467 
Putnam, NY," 4,038 "," 1,306 "
Queens, NY," 126,363 "," 36,633 "
Rensselaer, NY," 9,704 "," 2,372 "
Richmond, NY," 26,917 "," 6,747 "
Rockland, NY," 18,011 "," 3,964 "
St. Lawrence, NY," 13,053 "," 1,151 "
Saratoga, NY," 9,624 "," 2,494 "
Schenectady, NY," 9,252 "," 1,441 "
Schoharie, NY," 2,497 ", 253 
Schuyler, NY, 806 , 120 
Seneca, NY," 1,009 ", 578 
Steuben, NY," 3,611 ", 533 
Suffolk, NY," 79,756 "," 21,815 "
Sullivan, NY," 2,539 ", 392 
Tioga, NY," 1,937 ", 363 
Tompkins, NY," 23,220 "," 6,718 "
Ulster, NY," 10,372 "," 2,137 "
Warren, NY," 2,957 ", 301 
Washington, NY," 2,231 ", 436 
Wayne, NY," 3,274 ", 475 
Westchester, NY," 49,325 "," 13,946 "
Wyoming, NY," 1,255 ", 129 
Yates, NY," 1,798 ", 103 
NORTH CAROLINA,," 531,127 "," 96,047 "
Alamance, NC," 8,073 "," 1,286 "
Alexander, NC," 1,163 ", 229 
Alleghany, NC, 237 , 82 
Anson, NC, 772 , 58 
Ashe, NC, 865 , 92 
Avery, NC," 1,087 ", 193 
Beaufort, NC," 1,715 ", 222 
Bertie, NC, 558 , 13 
Bladen, NC," 1,591 ", 207 
Brunswick, NC," 2,915 ", 350 
Buncombe, NC," 12,492 "," 1,552 "
Burke, NC," 4,319 ", 343 
Cabarrus, NC," 7,033 "," 1,127 "
Caldwell, NC," 4,440 ", 328 
Camden, NC, 427 , 238 
Carteret, NC," 2,722 ", 507 
Caswell, NC," 1,116 ", 67 
Catawba, NC," 7,146 ", 739 
Chatham, NC," 2,183 ", 722 
Cherokee, NC," 1,050 ", 54 
Chowan, NC, 555 , 41 
Clay, NC, 413 , 43 
Cleveland, NC," 5,614 ", 706 
Columbus, NC," 1,982 ", 161 
Craven, NC," 5,014 ", 764 
Cumberland, NC," 23,952 "," 3,998 "
Currituck, NC, 922 , 122 
Dare, NC, 893 , 187 
Davidson, NC," 5,780 ", 974 
Davie, NC," 1,603 ", 224 
Duplin, NC," 2,217 ", 129 
Durham, NC," 19,757 "," 10,826 "
Edgecombe, NC," 2,517 ", 130 
Forsyth, NC," 20,794 "," 4,826 "
Franklin, NC," 2,938 ", 313 
Gaston, NC," 8,326 "," 1,419 "
Gates, NC, 297 , 49 
Graham, NC, 157 , 37 
Granville, NC," 2,673 ", 221 
Greene, NC," 1,109 ", 73 
Guilford, NC," 35,508 "," 5,760 "
Halifax, NC," 2,023 ", 305 
Harnett, NC," 8,427 "," 1,349 "
Haywood, NC," 2,363 ", 115 
Henderson, NC," 3,423 ", 564 
Hertford, NC," 1,685 ", 103 
Hoke, NC," 2,650 ", 313 
Hyde, NC, 243 , -   
Iredell, NC," 6,022 ", 827 
Jackson, NC," 5,706 ", 743 
Johnston, NC," 6,208 ", 784 
Jones, NC, 396 , 21 
Lee, NC," 2,385 ", 393 
Lenoir, NC," 2,904 ", 359 
Lincoln, NC," 3,187 ", 300 
McDowell, NC," 1,900 ", 164 
Macon, NC," 1,050 ", 180 
Madison, NC," 1,614 ", 239 
Martin, NC," 1,284 ", 123 
Mecklenburg, NC," 49,030 "," 10,972 "
Mitchell, NC, 561 , 12 
Montgomery, NC," 1,101 ", 136 
Moore, NC," 3,875 ", 588 
Nash, NC," 4,682 ", 531 
New Hanover, NC," 18,306 "," 2,185 "
Northampton, NC, 923 , 133 
Onslow, NC," 8,926 ", 829 
Orange, NC," 19,118 "," 5,891 "
Pamlico, NC, 474 , 62 
Pasquotank, NC," 3,772 ", 235 
Pender, NC," 1,885 ", 290 
Perquimans, NC, 721 , 28 
Person, NC," 2,012 ", 265 
Pitt, NC," 23,083 "," 3,261 "
Polk, NC, 462 , 210 
Randolph, NC," 4,974 ", 573 
Richmond, NC," 1,858 ", 197 
Robeson, NC," 6,857 ", 711 
Rockingham, NC," 3,395 ", 359 
Rowan, NC," 6,526 ", 687 
Rutherford, NC," 2,518 ", 321 
Sampson, NC," 2,942 ", 309 
Scotland, NC," 2,114 ", 149 
Stanly, NC," 3,488 ", 242 
Stokes, NC," 1,375 ", 160 
Surry, NC," 2,717 ", 182 
Swain, NC, 674 , 160 
Transylvania, NC," 1,234 ", 52 
Tyrrell, NC, 92 , 13 
Union, NC," 6,932 "," 1,282 "
Vance, NC," 2,050 ", 141 
Wake, NC," 54,871 "," 15,410 "
Warren, NC, 956 , 92 
Washington, NC, 503 , 112 
Watauga, NC," 12,472 ", 821 
Wayne, NC," 6,573 ", 910 
Wilkes, NC," 2,177 ", 409 
Wilson, NC," 4,426 ", 517 
Yadkin, NC," 1,478 ", 238 
Yancey, NC, 599 , 78 
NORTH DAKOTA,," 51,407 "," 7,163 "
Adams, ND, 16 , 5 
Barnes, ND, 595 , 46 
Benson, ND, 254 , 16 
Billings, ND, 27 , -   
Bottineau, ND, 456 , 27 
Bowman, ND, 34 , 2 
Burke, ND, 14 , 6 
Burleigh, ND," 4,994 ", 945 
Cass, ND," 17,443 "," 2,306 "
Cavalier, ND, 108 , 10 
Dickey, ND, 329 , 36 
Divide, ND, 6 , -   
Dunn, ND, 56 , 7 
Eddy, ND, 72 , 6 
Emmons, ND, 28 , 31 
Foster, ND, 63 , 49 
Golden Valley, ND, 68 , 12 
Grand Forks, ND," 12,734 "," 1,626 "
Grant, ND, 63 , 10 
Griggs, ND, 10 , 15 
Hettinger, ND, 12 , 11 
Kidder, ND, 46 , 27 
LaMoure, ND, 72 , 27 
Logan, ND, 29 , 15 
McHenry, ND, 124 , 19 
McIntosh, ND, 42 , 21 
McKenzie, ND, 197 , 52 
McLean, ND, 145 , 31 
Mercer, ND, 168 , 4 
Morton, ND, 990 , 185 
Mountrail, ND, 205 , 24 
Nelson, ND, 99 , 22 
Oliver, ND, 9 , -   
Pembina, ND, 136 , 52 
Pierce, ND, 149 , 1 
Ramsey, ND, 381 , 71 
Ransom, ND, 127 , 20 
Renville, ND, 43 , 15 
Richland, ND," 1,716 ", 52 
Rolette, ND, 460 , 128 
Sargent, ND, 96 , 28 
Sheridan, ND, 8 , -   
Sioux, ND, 237 , 50 
Slope, ND, 30 , -   
Stark, ND," 1,924 ", 212 
Steele, ND, 16 , 7 
Stutsman, ND," 1,423 ", 97 
Towner, ND, 40 , 18 
Traill, ND, 522 , 90 
Walsh, ND, 196 , 28 
Ward, ND," 3,722 ", 593 
Wells, ND, 66 , 20 
Williams, ND, 607 , 88 
OHIO,," 653,397 "," 138,509 "
Adams, OH, 685 , 149 
Allen, OH," 6,493 ", 720 
Ashland, OH," 3,378 ", 781 
Ashtabula, OH," 4,032 ", 687 
Athens, OH," 18,494 "," 2,090 "
Auglaize, OH," 1,539 ", 270 
Belmont, OH," 2,492 ", 437 
Brown, OH," 1,648 ", 379 
Butler, OH," 25,762 "," 4,019 "
Carroll, OH, 841 , 124 
Champaign, OH," 1,231 ", 342 
Clark, OH," 7,091 "," 1,075 "
Clermont, OH," 7,642 "," 1,321 "
Clinton, OH," 2,047 ", 309 
Columbiana, OH," 3,631 ", 576 
Coshocton, OH," 1,092 ", 255 
Crawford, OH," 1,443 ", 274 
Cuyahoga, OH," 68,388 "," 18,756 "
Darke, OH," 1,752 ", 251 
Defiance, OH," 1,777 ", 250 
Delaware, OH," 6,896 "," 2,267 "
Erie, OH," 2,602 ", 441 
Fairfield, OH," 6,496 "," 1,172 "
Fayette, OH, 844 , 131 
Franklin, OH," 78,186 "," 25,704 "
Fulton, OH," 1,860 ", 228 
Gallia, OH," 1,615 ", 182 
Geauga, OH," 3,845 ", 951 
Greene, OH," 19,109 "," 3,104 "
Guernsey, OH," 1,180 ", 165 
Hamilton, OH," 53,128 "," 13,444 "
Hancock, OH," 4,308 "," 1,042 "
Hardin, OH," 3,584 ", 446 
Harrison, OH, 495 , 48 
Henry, OH," 1,138 ", 177 
Highland, OH," 1,125 ", 137 
Hocking, OH," 1,136 ", 140 
Holmes, OH, 500 , 167 
Huron, OH," 1,919 ", 241 
Jackson, OH, 916 , 285 
Jefferson, OH," 4,046 ", 335 
Knox, OH," 4,255 ", 460 
Lake, OH," 10,705 "," 2,971 "
Lawrence, OH," 2,519 ", 462 
Licking, OH," 8,745 "," 1,170 "
Logan, OH," 1,340 ", 303 
Lorain, OH," 16,897 "," 2,588 "
Lucas, OH," 30,143 "," 6,415 "
Madison, OH," 1,318 ", 328 
Mahoning, OH," 11,621 "," 2,091 "
Marion, OH," 2,210 ", 404 
Medina, OH," 7,467 "," 1,753 "
Meigs, OH, 764 , 200 
Mercer, OH," 1,649 ", 237 
Miami, OH," 3,963 ", 821 
Monroe, OH, 544 , 37 
Montgomery, OH," 37,676 "," 7,237 "
Morgan, OH, 452 , 103 
Morrow, OH," 1,169 ", 290 
Muskingum, OH," 4,576 ", 612 
Noble, OH, 481 , 58 
Ottawa, OH," 1,569 ", 320 
Paulding, OH, 655 , 56 
Perry, OH," 1,334 ", 270 
Pickaway, OH," 2,031 ", 418 
Pike, OH," 1,008 ", 190 
Portage, OH," 17,918 "," 2,592 "
Preble, OH," 1,477 ", 340 
Putnam, OH," 1,506 ", 240 
Richland, OH," 4,920 ", 914 
Ross, OH," 3,199 ", 440 
Sandusky, OH," 2,424 ", 286 
Scioto, OH," 4,063 ", 368 
Seneca, OH," 4,134 ", 524 
Shelby, OH," 1,873 ", 420 
Stark, OH," 19,443 "," 3,248 "
Summit, OH," 28,998 "," 6,977 "
Trumbull, OH," 7,960 "," 1,444 "
Tuscarawas, OH," 3,370 ", 474 
Union, OH," 1,675 ", 380 
Van Wert, OH, 928 , 136 
Vinton, OH, 619 , 11 
Warren, OH," 7,330 "," 2,368 "
Washington, OH," 3,774 ", 325 
Wayne, OH," 5,244 ", 763 
Williams, OH," 1,377 ", 162 
Wood, OH," 18,929 "," 2,225 "
Wyandot, OH, 759 , 206 
OKLAHOMA,," 208,560 "," 32,378 "
Adair, OK, 680 , 13 
Alfalfa, OK, 156 , 23 
Atoka, OK, 341 , 41 
Beaver, OK, 39 , 15 
Beckham, OK, 541 , 75 
Blaine, OK, 365 , 63 
Bryan, OK," 3,459 ", 151 
Caddo, OK," 1,403 ", 110 
Canadian, OK," 4,676 ", 859 
Carter, OK," 1,462 ", 203 
Cherokee, OK," 5,591 ", 370 
Choctaw, OK, 316 , 57 
Cimarron, OK, 35 , 11 
Cleveland, OK," 28,477 "," 5,378 "
Coal, OK, 102 , 20 
Comanche, OK," 6,301 ", 848 
Cotton, OK, 177 , 82 
Craig, OK, 547 , 14 
Creek, OK," 2,597 ", 333 
Custer, OK," 3,417 ", 291 
Delaware, OK, 822 , 134 
Dewey, OK, 36 , 4 
Ellis, OK, 64 , 6 
Garfield, OK," 2,048 ", 460 
Garvin, OK, 564 , 104 
Grady, OK," 2,207 ", 382 
Grant, OK, 177 , 36 
Greer, OK, 58 , 28 
Harmon, OK, 59 , 1 
Harper, OK, 57 , 49 
Haskell, OK, 381 , 71 
Hughes, OK, 325 , 25 
Jackson, OK," 1,214 ", 217 
Jefferson, OK, 144 , 12 
Johnston, OK," 1,378 ", 69 
Kay, OK," 2,022 ", 202 
Kingfisher, OK, 503 , 97 
Kiowa, OK, 214 , 3 
Latimer, OK, 677 , 51 
Le Flore, OK," 1,665 ", 178 
Lincoln, OK, 995 , 51 
Logan, OK," 2,260 ", 184 
Love, OK, 223 , 9 
McClain, OK," 1,370 ", 138 
McCurtain, OK, 801 , 166 
McIntosh, OK, 629 , 42 
Major, OK, 66 , 21 
Marshall, OK, 535 , 47 
Mayes, OK," 1,078 ", 157 
Murray, OK, 287 , 50 
Muskogee, OK," 2,682 ", 448 
Noble, OK, 546 , 55 
Nowata, OK, 292 , 27 
Okfuskee, OK, 533 , 51 
Oklahoma, OK," 40,060 "," 7,744 "
Okmulgee, OK," 2,246 ", 116 
Osage, OK," 1,637 ", 127 
Ottawa, OK," 1,517 ", 117 
Pawnee, OK, 368 , 102 
Payne, OK," 19,083 "," 2,654 "
Pittsburg, OK," 1,215 ", 196 
Pontotoc, OK," 3,039 ", 358 
Pottawatomie, OK," 4,406 ", 417 
Pushmataha, OK, 356 , 2 
Roger Mills, OK, 87 , 10 
Rogers, OK," 4,049 ", 434 
Seminole, OK," 1,308 ", 106 
Sequoyah, OK," 1,771 ", 79 
Stephens, OK," 1,264 ", 112 
Texas, OK, 890 , 92 
Tillman, OK, 309 , 32 
Tulsa, OK," 31,157 "," 6,270 "
Wagoner, OK," 2,584 ", 445 
Washington, OK," 1,919 ", 198 
Washita, OK, 255 , 62 
Woods, OK," 1,156 ", 100 
Woodward, OK, 290 , 73 
OREGON,," 209,230 "," 41,599 "
Baker, OR, 326 , 56 
Benton, OR," 16,620 "," 2,081 "
Clackamas, OR," 17,761 "," 3,654 "
Clatsop, OR," 1,741 ", 330 
Columbia, OR," 1,692 ", 245 
Coos, OR," 2,210 ", 234 
Crook, OR, 525 , 82 
Curry, OR, 375 , 47 
Deschutes, OR," 5,320 "," 1,055 "
Douglas, OR," 3,388 ", 337 
Gilliam, OR, 47 , 5 
Grant, OR, 121 , 72 
Harney, OR, 87 , 10 
Hood River, OR, 590 , 217 
Jackson, OR," 9,047 "," 1,205 "
Jefferson, OR, 200 , 118 
Josephine, OR," 2,381 ", 323 
Klamath, OR," 3,692 ", 428 
Lake, OR, 66 , 17 
Lane, OR," 31,647 "," 5,093 "
Lincoln, OR," 1,599 ", 457 
Linn, OR," 4,717 ", 463 
Malheur, OR," 1,306 ", 209 
Marion, OR," 15,025 "," 1,959 "
Morrow, OR, 303 , 53 
Multnomah, OR," 44,166 "," 14,130 "
Polk, OR," 6,240 ", 522 
Sherman, OR, 37 , 11 
Tillamook, OR, 576 , 185 
Umatilla, OR," 2,471 ", 324 
